// Radical name dictionary (v0.9)
电	tián	Variant of radical ⽥ (field)EXAMPLES 由·甲·申HOMEPAGE ► 偏旁
田字旁	tiánzìpáng	Name of radical number 102 ⽥MEANING fieldEXAMPLES 由·甲·申HOMEPAGE ► 偏旁
⽥	tián	Kangxi radical number 102NAME 田字旁 tiánzìpángVARIANTS 田·由·甲·申·电STANDALONE 田MEANING fieldEXAMPLES 由·甲·申MNEMONIC  represents a rice paddyRANK 76.3%HOMEPAGE ► 偏旁
⺪	pǐ	Variant of radical ⽦ (bolt of cloth)EXAMPLES 疌·疏·疎HOMEPAGE ► 偏旁
疋	pǐ	Variant of radical ⽦ (bolt of cloth)EXAMPLES 疌·疏·疎HOMEPAGE ► 偏旁
𤴔	pǐ	Variant of radical ⽦ (bolt of cloth)EXAMPLES 疌·疏·疎HOMEPAGE ► 偏旁
疋字底	pǐzìdǐ	Name of radical number 103 ⽦MEANING bolt of clothEXAMPLES 疌·疏·疎HOMEPAGE ► 偏旁
⽦	pǐ	Kangxi radical number 103NAME 疋字底 pǐzìdǐVARIANTS ⺪·疋·𤴔STANDALONE 疋MEANING bolt of clothEXAMPLES 疌·疏·疎RANK 5.2%NOTES  generally superseded by 匹HOMEPAGE ► 偏旁
疒	nè	Variant of radical ⽧ (sickness)EXAMPLES 疔·疚·疝HOMEPAGE ► 偏旁
病字旁	bìngzìpáng	Name of radical number 104 ⽧MEANING sicknessEXAMPLES 疔·疚·疝HOMEPAGE ► 偏旁
⽧	nè	Kangxi radical number 104NAME 病字旁 bìngzìpángVARIANTS 疒MEANING sicknessEXAMPLES 疔·疚·疝MNEMONIC  A sick person stretched out on a bed (on the left - 丬)RANK 92.3%NOTES  If the character represents some disease or affliction then odds are good that this is the 部首HOMEPAGE ► 偏旁
癶	bō	Variant of radical ⽨ (footsteps)EXAMPLES 癸·癹·発HOMEPAGE ► 偏旁
登字头	dēngzìtóu	Name of radical number 105 ⽨MEANING footstepsEXAMPLES 癸·癹·発HOMEPAGE ► 偏旁
⽨	bō	Kangxi radical number 105NAME 登字头 dēngzìtóuVARIANTS 癶MEANING footstepsEXAMPLES 癸·癹·発MNEMONIC  Two feet - 止 - back-to-backRANK 20.1%NOTES  This radical only links to three characters in modern usage - 發，噔，and 癸HOMEPAGE ► 偏旁
白	bái	Variant of radical ⽩ (white)EXAMPLES 百·皀·皁HOMEPAGE ► 偏旁
白字旁	báizìpáng	Name of radical number 106 ⽩MEANING whiteEXAMPLES 百·皀·皁HOMEPAGE ► 偏旁
⽩	bái	Kangxi radical number 106NAME 白字旁 báizìpángVARIANTS 白STANDALONE 白MEANING whiteEXAMPLES 百·皀·皁MNEMONIC  A modification of the sun - 日 - to represent whiteRANK 67.7%DISTINGHUISH FROM 日,·曰,·臼,·目NOTES  Associated with the idea of purity and brightness in many 字HOMEPAGE ► 偏旁
皮	pí	Variant of radical ⽪ (skin)EXAMPLES 皯·皰·皴HOMEPAGE ► 偏旁
皮字旁	pízìpáng	Name of radical number 107 ⽪MEANING skinEXAMPLES 皯·皰·皴HOMEPAGE ► 偏旁
⽪	pí	Kangxi radical number 107NAME 皮字旁 pízìpángVARIANTS 皮STANDALONE 皮MEANING skinEXAMPLES 皯·皰·皴MNEMONIC  A hand 又 flaying an animal hideRANK 35.0%NOTES  In a number of characters relating to different skin attributes/conditions as well as a number of different articles of clothing which once may have been made from hidesHOMEPAGE ► 偏旁
皿	mǐn	Variant of radical ⽫ (dish)EXAMPLES 盂·盃·盅HOMEPAGE ► 偏旁
皿字底	mǐnzìdǐ	Name of radical number 108 ⽫MEANING dishEXAMPLES 盂·盃·盅HOMEPAGE ► 偏旁
⽫	mǐn	Kangxi radical number 108NAME 皿字底 mǐnzìdǐVARIANTS 皿STANDALONE 皿MEANING dishEXAMPLES 盂·盃·盅MNEMONIC  Primitive of a tub or plateRANK 79.1%NOTES  Numerous types of receptacles and their uses are categorized under this 部首HOMEPAGE ► 偏旁
目	mù	Variant of radical ⽬ (eye)EXAMPLES 盯·盱·盲HOMEPAGE ► 偏旁
目字旁	mùzìpáng	Name of radical number 109 ⽬MEANING eyeEXAMPLES 盯·盱·盲HOMEPAGE ► 偏旁
⽬	mù	Kangxi radical number 109NAME 目字旁 mùzìpángVARIANTS 目STANDALONE 目MEANING eyeEXAMPLES 盯·盱·盲MNEMONIC  This is a picture of an eye (on its' side)RANK 91.6%DISTINGHUISH FROM 日,·曰,·臼NOTES  Used in characters which relate to seeing (or not seeing)HOMEPAGE ► 偏旁
矛	máo	Variant of radical ⽭ (spear)EXAMPLES 矜·矞·矟HOMEPAGE ► 偏旁
⽭	máo	Kangxi radical number 110NAME  VARIANTS 矛STANDALONE 矛MEANING spearEXAMPLES 矜·矞·矟MNEMONIC  A saw lance made of flint disksRANK 5.2%HOMEPAGE ► 偏旁
矢	shǐ	Variant of radical ⽮ (arrow)EXAMPLES 矣·知·矧HOMEPAGE ► 偏旁
⽮	shǐ	Kangxi radical number 111NAME  VARIANTS 矢STANDALONE 矢MEANING arrowEXAMPLES 矣·知·矧MNEMONIC  A picture - the point is at the top, feathers and knock belowRANK 63.1%HOMEPAGE ► 偏旁
石	shí	Variant of radical ⽯ (stone)EXAMPLES 矸·矻·矼HOMEPAGE ► 偏旁
石字旁	shízìpáng	Name of radical number 112 ⽯MEANING stoneEXAMPLES 矸·矻·矼HOMEPAGE ► 偏旁
⽯	shí	Kangxi radical number 112NAME 石字旁 shízìpángVARIANTS 石STANDALONE 石MEANING stoneEXAMPLES 矸·矻·矼MNEMONIC  口 represents a rock which has rolled to the bottom of a cliffRANK 94.4%NOTES  Used in characters for hard, rocklike thingsHOMEPAGE ► 偏旁
⺬	shì	Variant of radical ⽰ (spirit)EXAMPLES 礼·礽·社HOMEPAGE ► 偏旁
⺭	shì	Variant of radical ⽰ (spirit)EXAMPLES 礼·礽·社HOMEPAGE ► 偏旁
示	shì	Variant of radical ⽰ (spirit)EXAMPLES 礼·礽·社HOMEPAGE ► 偏旁
礻	shì	Variant of radical ⽰ (spirit)EXAMPLES 礼·礽·社HOMEPAGE ► 偏旁
示字旁	shìzìpáng	Name of radical number 113 ⽰MEANING spiritEXAMPLES 礼·礽·社HOMEPAGE ► 偏旁
⽰	shì	Kangxi radical number 113NAME 示字旁 shìzìpángVARIANTS ⺬·⺭·示·礻STANDALONE 示MEANING spiritEXAMPLES 礼·礽·社MNEMONIC  image of an altarRANK 5.2%DISTINGHUISH FROM 衤NOTES  Also known as the SIGN radical - think divine or mystical signs.This form is not common as a character component.  Considered a separate radical from 礻in some modern simplified tables.HOMEPAGE ► 偏旁
禸	róu	Variant of radical ⽱ (track)EXAMPLES 禹·禺·离HOMEPAGE ► 偏旁
⽱	róu	Kangxi radical number 114NAME  VARIANTS 禸MEANING trackEXAMPLES 禹·禺·离MNEMONIC  typically indicates a rump and tailRANK 44.4%HOMEPAGE ► 偏旁
禾	hé	Variant of radical ⽲ (grain)EXAMPLES 禿·秀·私HOMEPAGE ► 偏旁
禾木旁	hémùpáng	Name of radical number 115 ⽲MEANING grainEXAMPLES 禿·秀·私HOMEPAGE ► 偏旁
⽲	hé	Kangxi radical number 115NAME 禾木旁 hémùpángVARIANTS 禾STANDALONE 禾MEANING grainEXAMPLES 禿·秀·私MNEMONIC  represents a sheath of grain with a sagging headRANK 90.9%DISTINGHUISH FROM 釆,·米,·木NOTES  Characters relating to farming, harvesting, and of course grains contain this radicalHOMEPAGE ► 偏旁
穴	xué	Variant of radical ⽳ (cave)EXAMPLES 究·穸·空HOMEPAGE ► 偏旁
穴宝盖	xuébǎogài	Name of radical number 116 ⽳MEANING caveEXAMPLES 究·穸·空HOMEPAGE ► 偏旁
⽳	xué	Kangxi radical number 116NAME 穴宝盖 xuébǎogàiVARIANTS 穴STANDALONE 穴MEANING caveEXAMPLES 究·穸·空MNEMONIC  a house 宀 with an entrance 入RANK 82.2%NOTES  This radical is used for cave-like things and investigationHOMEPAGE ► 偏旁
立	lì	Variant of radical ⽴ (stand)EXAMPLES 竑·竒·竘HOMEPAGE ► 偏旁
立字旁	lìzìpáng	Name of radical number 117 ⽴MEANING standEXAMPLES 竑·竒·竘HOMEPAGE ► 偏旁
⽴	lì	Kangxi radical number 117NAME 立字旁 lìzìpángVARIANTS 立STANDALONE 立MEANING standEXAMPLES 竑·竒·竘MNEMONIC  This is a image of a man standing on the ground, arms raisedRANK 67.7%HOMEPAGE ► 偏旁
⺮	zhú	Variant of radical ⽵ (bamboo)EXAMPLES 竺·竽·竿HOMEPAGE ► 偏旁
竹	zhú	Variant of radical ⽵ (bamboo)EXAMPLES 竺·竽·竿HOMEPAGE ► 偏旁
𥫗	zhú	Variant of radical ⽵ (bamboo)EXAMPLES 竺·竽·竿HOMEPAGE ► 偏旁
竹字头	zhúzìtóu	Name of radical number 118 ⽵MEANING bambooEXAMPLES 竺·竽·竿HOMEPAGE ► 偏旁
⽵	zhú	Kangxi radical number 118NAME 竹字头 zhúzìtóuVARIANTS ⺮·竹·𥫗STANDALONE 竹MEANING bambooEXAMPLES 竺·竽·竿MNEMONIC  Two bamboo stalks with leavesRANK 5.2%NOTES  Items which are or once were fashioned of bamboo are found under this radical. This full 字 isn't actually used as a component, see ⺮HOMEPAGE ► 偏旁
米	mǐ	Variant of radical ⽶ (rice)EXAMPLES 籸·籹·籽HOMEPAGE ► 偏旁
米字旁	mǐzìpáng	Name of radical number 119 ⽶MEANING riceEXAMPLES 籸·籹·籽HOMEPAGE ► 偏旁
⽶	mǐ	Kangxi radical number 119NAME 米字旁 mǐzìpángVARIANTS 米STANDALONE 米MEANING riceEXAMPLES 籸·籹·籽MNEMONIC  Originally a picture of rice growing in a paddie, the horizontal line is the water lineRANK 85.0%NOTES  Products of rice and their qualities are covered here, but also characters having to do with business practices and quality gradesHOMEPAGE ► 偏旁
⺯	mì	Variant of radical ⽷ (silk)EXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
⺰	mì	Variant of radical ⽷ (silk)EXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
糸	mì	Variant of radical ⽷ (silk)EXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
糹	mì	Variant of radical ⽷ (silk)EXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
纟	mì	Variant of radical ⽷ (silk)EXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
绞丝旁	jiǎosīpáng	Name of radical number 120 ⽷MEANING silkEXAMPLES 系·糾·紀HOMEPAGE ► 偏旁
⽷	mì	Kangxi radical number 120NAME 绞丝旁 jiǎosīpángVARIANTS ⺯·⺰·糸·糹·纟MEANING silkEXAMPLES 系·糾·紀MNEMONIC  twisted stringRANK 72.5%DISTINGHUISH FROM 幺,·玄NOTES  Characters having to do with rope, threads, as well as actions having to do with the manufacturing of fabrics use this radicalHOMEPAGE ► 偏旁
缶	fǒu	Variant of radical ⽸ (jar)EXAMPLES 缸·缺·缽HOMEPAGE ► 偏旁
⽸	fǒu	Kangxi radical number 121NAME  VARIANTS 缶STANDALONE 缶MEANING jarEXAMPLES 缸·缺·缽MNEMONIC  pot with a lidRANK 35.0%NOTES  Earthenware vessels, jars, and their attributes use this radicalHOMEPAGE ► 偏旁
⺫	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⺱	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⺲	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⺳	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⺴	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⺵	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
㓁	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
网	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
罒	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
罓	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
𦉫	wǎng	Variant of radical ⽹ (net)EXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
四字头	sìzìtóu	Name of radical number 122 ⽹MEANING netEXAMPLES 罔·罕·罘HOMEPAGE ► 偏旁
⽹	wǎng	Kangxi radical number 122NAME 四字头 sìzìtóuVARIANTS ⺫·⺱·⺲·⺳·⺴·⺵·㓁·网·罒·罓·𦉫STANDALONE 网MEANING netEXAMPLES 罔·罕·罘RANK 5.2%NOTES  As nets are used to trap some thing or even a person, the characters under this radical generally relate to that concept, in particular a few characters relate to crime.  Traditional form for this pronunciation is 惘, not a radical though - see 罔HOMEPAGE ► 偏旁
⺶	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
⺷	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
⺸	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
羊	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
羋	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
𦍋	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
𦍌	yáng	Variant of radical ⽺ (sheep)EXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
羊字旁	yángzìpáng	Name of radical number 123 ⽺MEANING sheepEXAMPLES 羋·羌·美HOMEPAGE ► 偏旁
⽺	yáng	Kangxi radical number 123NAME 羊字旁 yángzìpángVARIANTS ⺶·⺷·⺸·羊·羋·𦍋·𦍌STANDALONE 羊MEANING sheepEXAMPLES 羋·羌·美MNEMONIC  This is an image of a goat/sheep, horns, ears, and legsRANK 52.7%NOTES  For whatever reason, 羊 is often used as the radical virtuous or noble attributes.  Also used as the radical for a variety of grazing animals.HOMEPAGE ► 偏旁
羽	yǔ	Variant of radical ⽻ (feather)EXAMPLES 羿·翀·翁HOMEPAGE ► 偏旁
羽	yǔ	Variant of radical ⽻ (feather)EXAMPLES 羿·翀·翁HOMEPAGE ► 偏旁
羽字旁	yǔzìpáng	Name of radical number 124 ⽻MEANING featherEXAMPLES 羿·翀·翁HOMEPAGE ► 偏旁
⽻	yǔ	Kangxi radical number 124NAME 羽字旁 yǔzìpángVARIANTS 羽·羽STANDALONE 羽MEANING featherEXAMPLES 羿·翀·翁MNEMONIC  This is an image of wingsRANK 75.3%NOTES  Birdlike attributes, and more specifically attributes of a bird's plumage are represented by this radical.HOMEPAGE ► 偏旁
⺹	lǎo	Variant of radical ⽼ (old)EXAMPLES 考·者·耆HOMEPAGE ► 偏旁
老	lǎo	Variant of radical ⽼ (old)EXAMPLES 考·者·耆HOMEPAGE ► 偏旁
耂	lǎo	Variant of radical ⽼ (old)EXAMPLES 考·者·耆HOMEPAGE ► 偏旁
老字头	lǎozìtóu	Name of radical number 125 ⽼MEANING oldEXAMPLES 考·者·耆HOMEPAGE ► 偏旁
⽼	lǎo	Kangxi radical number 125NAME 老字头 lǎozìtóuVARIANTS ⺹·老·耂STANDALONE 老MEANING oldEXAMPLES 考·者·耆MNEMONIC  an old man with long hair leaning on a cane 匕RANK 44.4%NOTES  Used in characters conveying age. Not actually used as a radical, see variantHOMEPAGE ► 偏旁
而	ér	Variant of radical ⽽ (and)EXAMPLES 耍·耎·耏HOMEPAGE ► 偏旁
⽽	ér	Kangxi radical number 126NAME  VARIANTS 而STANDALONE 而MEANING andEXAMPLES 耍·耎·耏MNEMONIC  possibly represents a beardRANK 35.0%HOMEPAGE ► 偏旁
耒	lěi	Variant of radical ⽾ (plough)EXAMPLES 耔·耕·耖HOMEPAGE ► 偏旁
⽾	lěi	Kangxi radical number 127NAME  VARIANTS 耒STANDALONE 耒MEANING ploughEXAMPLES 耔·耕·耖MNEMONIC  A plow handle of wood and originally 3 cross lines indicating the furrows madeRANK 52.7%NOTES  The few characters under this radical generally relate to cultivation of cropsHOMEPAGE ► 偏旁
耳	ěr	Variant of radical ⽿ (ear)EXAMPLES 耴·耵·耷HOMEPAGE ► 偏旁
耳字旁	ěrzìpáng	Name of radical number 128 ⽿MEANING earEXAMPLES 耴·耵·耷HOMEPAGE ► 偏旁
⽿	ěr	Kangxi radical number 128NAME 耳字旁 ěrzìpángVARIANTS 耳STANDALONE 耳MEANING earEXAMPLES 耴·耵·耷MNEMONIC  This is a picture of an earRANK 76.3%NOTES  Typically associated with characters having to do with listening and comprehendingHOMEPAGE ► 偏旁
⺺	yù	Variant of radical ⾀ (brush)EXAMPLES 肄·肆·肅HOMEPAGE ► 偏旁
⺻	yù	Variant of radical ⾀ (brush)EXAMPLES 肄·肆·肅HOMEPAGE ► 偏旁
聿	yù	Variant of radical ⾀ (brush)EXAMPLES 肄·肆·肅HOMEPAGE ► 偏旁
肀	yù	Variant of radical ⾀ (brush)EXAMPLES 肄·肆·肅HOMEPAGE ► 偏旁
⾀	yù	Kangxi radical number 129NAME  VARIANTS ⺺·⺻·聿·肀STANDALONE 聿MEANING brushEXAMPLES 肄·肆·肅MNEMONIC  a hand with a brush, drawing a pair of linesRANK 35.0%HOMEPAGE ► 偏旁
⺼	ròu	Variant of radical ⾁ (meat)EXAMPLES 肊·肋·然HOMEPAGE ► 偏旁
肉	ròu	Variant of radical ⾁ (meat)EXAMPLES 肊·肋·然HOMEPAGE ► 偏旁
⾁	ròu	Kangxi radical number 130NAME  VARIANTS ⺼·肉STANDALONE 肉MEANING meatEXAMPLES 肊·肋·然MNEMONIC  ribs of an animalRANK 20.1%NOTES  Fleshy things and body parts are represented by this radical.  An additional variant of the flesh radical is the top half of 炙, representing meat over a fire. This variant can be seen in several charactersHOMEPAGE ► 偏旁
臣	chén	Variant of radical ⾂ (minister)EXAMPLES 臤·臥·臧HOMEPAGE ► 偏旁
𦣝	chén	Variant of radical ⾂ (minister)EXAMPLES 臤·臥·臧HOMEPAGE ► 偏旁
⾂	chén	Kangxi radical number 131NAME  VARIANTS 臣·𦣝STANDALONE 臣MEANING ministerEXAMPLES 臤·臥·臧MNEMONIC  a sideways version of an eye or a headRANK 52.7%HOMEPAGE ► 偏旁
自	zì	Variant of radical ⾃ (self)EXAMPLES 臬·臭·臯HOMEPAGE ► 偏旁
⾃	zì	Kangxi radical number 132NAME  VARIANTS 自STANDALONE 自MEANING selfEXAMPLES 臬·臭·臯MNEMONIC  primitive of a nose - one points to their nose when pointing at themselvesRANK 20.1%HOMEPAGE ► 偏旁
至	zhì	Variant of radical ⾄ (arrive)EXAMPLES 致·臷·臺HOMEPAGE ► 偏旁
⾄	zhì	Kangxi radical number 133NAME  VARIANTS 至STANDALONE 至MEANING arriveEXAMPLES 致·臷·臺MNEMONIC  an upside down arrow 矢 stuck in the ground where it (arrived) at after being shotRANK 35.0%HOMEPAGE ► 偏旁
⺽	jiù	Variant of radical ⾅ (mortar)EXAMPLES 臾·臿·舁HOMEPAGE ► 偏旁
臼	jiù	Variant of radical ⾅ (mortar)EXAMPLES 臾·臿·舁HOMEPAGE ► 偏旁
𦥑	jiù	Variant of radical ⾅ (mortar)EXAMPLES 臾·臿·舁HOMEPAGE ► 偏旁
⾅	jiù	Kangxi radical number 134NAME  VARIANTS ⺽·臼·𦥑STANDALONE 臼MEANING mortarEXAMPLES 臾·臿·舁MNEMONIC  Picture of a large wood mortar for pounding rice flour ( Usu in Japanese - still in use today for making Mochi)RANK 20.1%DISTINGHUISH FROM 日,·曰,·白NOTES  There is a variant form of this radical with 8 or 10 strokes, this variant seems to have different types of concepts placed into a mortar, such as 舉, 興, 輿 and 釁HOMEPAGE ► 偏旁
舌	shé	Variant of radical ⾆ (tongue)EXAMPLES 舍·舐·舑HOMEPAGE ► 偏旁
舌字旁	shézìpáng	Name of radical number 135 ⾆MEANING tongueEXAMPLES 舍·舐·舑HOMEPAGE ► 偏旁
⾆	shé	Kangxi radical number 135NAME 舌字旁 shézìpángVARIANTS 舌STANDALONE 舌MEANING tongueEXAMPLES 舍·舐·舑MNEMONIC  A tongue sticking out of a mouth 口RANK 20.1%NOTES  Most of the characters under this radical do relate to things done with the tongue, a variant radical is 舍, which appears in words relating to housingHOMEPAGE ► 偏旁
舛	chuǎn	Variant of radical ⾇ (oppose)EXAMPLES 舜·舝·舞HOMEPAGE ► 偏旁
⾇	chuǎn	Kangxi radical number 136NAME  VARIANTS 舛STANDALONE 舛MEANING opposeEXAMPLES 舜·舝·舞MNEMONIC  two feet opposedRANK 20.1%HOMEPAGE ► 偏旁
舟	zhōu	Variant of radical ⾈ (boat)EXAMPLES 舠·舡·舢HOMEPAGE ► 偏旁
舟字旁	zhōuzìpáng	Name of radical number 137 ⾈MEANING boatEXAMPLES 舠·舡·舢HOMEPAGE ► 偏旁
⾈	zhōu	Kangxi radical number 137NAME 舟字旁 zhōuzìpángVARIANTS 舟STANDALONE 舟MEANING boatEXAMPLES 舠·舡·舢MNEMONIC  A primitive of a boatRANK 72.5%NOTES  If this is the radical, then the character more than likely has a nautical natureHOMEPAGE ► 偏旁
艮	gèn	Variant of radical ⾉ (stopping)EXAMPLES 良·艱HOMEPAGE ► 偏旁
艮字旁	gènzìpáng	Name of radical number 138 ⾉MEANING stoppingEXAMPLES 良·艱HOMEPAGE ► 偏旁
⾉	gèn	Kangxi radical number 138NAME 艮字旁 gènzìpángVARIANTS 艮STANDALONE 艮MEANING stoppingEXAMPLES 良·艱MNEMONIC  A man 匕 with an eye 目 on top, originally just the mirror of 見RANK 20.1%HOMEPAGE ► 偏旁
色	sè	Variant of radical ⾊ (colour)EXAMPLES 艳·艴·艵HOMEPAGE ► 偏旁
⾊	sè	Kangxi radical number 139NAME  VARIANTS 色STANDALONE 色MEANING colourEXAMPLES 艳·艴·艵MNEMONIC  The top portion is thought to be derived from 人, the bottom derived from the character for seal - 卩, so color is the thing a man chooses when he places his sealRANK 20.1%DISTINGHUISH FROM 邑HOMEPAGE ► 偏旁
⺾	cǎo	Variant of radical ⾋ (grass)EXAMPLES 艽·艾·芃HOMEPAGE ► 偏旁
⺿	cǎo	Variant of radical ⾋ (grass)EXAMPLES 艽·艾·芃HOMEPAGE ► 偏旁
⻀	cǎo	Variant of radical ⾋ (grass)EXAMPLES 艽·艾·芃HOMEPAGE ► 偏旁
艸	cǎo	Variant of radical ⾋ (grass)EXAMPLES 艽·艾·芃HOMEPAGE ► 偏旁
艹	cǎo	Variant of radical ⾋ (grass)EXAMPLES 艽·艾·芃HOMEPAGE ► 偏旁
