// Radical name dictionary (v0.9)
⼓	bāo	Kangxi radical number 20NAME 包字头 bāozìtóuVARIANTS 勹MEANING wrapEXAMPLES 包·勺·勻·勾MNEMONIC  A figure leaning over to hold or cover somethingRANK 66.3%DISTINGHUISH FROM 刀,力NOTES  Adds a grouping or enclosing meaning to a number of characters, more often as a component as the actual 部首HOMEPAGE ► 偏旁
匕	bǐ	Variant of radical ⼔ (spoon)EXAMPLES 化·北·匙·比HOMEPAGE ► 偏旁
匕字旁	bǐzìpáng	Name of radical number 21 ⼔MEANING spoonEXAMPLES 化·北·匙·比HOMEPAGE ► 偏旁
⼔	bǐ	Kangxi radical number 21NAME 匕字旁 bǐzìpángVARIANTS 匕STANDALONE 匕MEANING spoonEXAMPLES 化·北·匙·比MNEMONIC  picture of a type of spoon or  ladle, possibly an upside down 人 in some charactersRANK 35.0%NOTES  aka spoonHOMEPAGE ► 偏旁
匚	fāng	Variant of radical ⼕ (box)EXAMPLES 匿·區·巨·匠HOMEPAGE ► 偏旁
医字框	yìzìkuàng	Name of radical number 22 ⼕MEANING boxEXAMPLES 匿·區·巨·匠HOMEPAGE ► 偏旁
⼕	fāng	Kangxi radical number 22NAME 医字框 yìzìkuàngVARIANTS 匚STANDALONE 匚MEANING boxEXAMPLES 匿·區·巨·匠RANK 52.7%DISTINGHUISH FROM 匸HOMEPAGE ► 偏旁
匸	xǐ	Variant of radical ⼖ (hiding enclosure)EXAMPLES 亡·匹·匼·匽HOMEPAGE ► 偏旁
⼖	xǐ	Kangxi radical number 23NAME  VARIANTS 匸MEANING hiding enclosureEXAMPLES 亡·匹·匼·匽RANK 44.4%DISTINGHUISH FROM 匚HOMEPAGE ► 偏旁
十	shí	Variant of radical ⼗ (ten)EXAMPLES 千·半·卅·升HOMEPAGE ► 偏旁
十字旁	shízìpáng	Name of radical number 24 ⼗MEANING tenEXAMPLES 千·半·卅·升HOMEPAGE ► 偏旁
⼗	shí	Kangxi radical number 24NAME 十字旁 shízìpángVARIANTS 十STANDALONE 十MEANING tenEXAMPLES 千·半·卅·升MNEMONIC  originally 丨 meaning straight - pronounced zhi - 一 one unit of 丨 pronounced shiRANK 78.4%HOMEPAGE ► 偏旁
⺊	bǔ	Variant of radical ⼘ (divination)EXAMPLES 下·上·卡·占HOMEPAGE ► 偏旁
卜	bǔ	Variant of radical ⼘ (divination)EXAMPLES 下·上·卡·占HOMEPAGE ► 偏旁
⼘	bǔ	Kangxi radical number 25NAME  VARIANTS ⺊·卜STANDALONE 卜MEANING divinationEXAMPLES 下·上·卡·占MNEMONIC  represents cracks in a turtle shell which were used for divinationRANK 59.0%HOMEPAGE ► 偏旁
⺋	jié	Variant of radical ⼙ (seal (device))EXAMPLES 即·卬·卷·夗HOMEPAGE ► 偏旁
㔾	jié	Variant of radical ⼙ (seal (device))EXAMPLES 即·卬·卷·夗HOMEPAGE ► 偏旁
卩	jié	Variant of radical ⼙ (seal (device))EXAMPLES 即·卬·卷·夗HOMEPAGE ► 偏旁
单耳刀	dāněrdāo	Name of radical number 26 ⼙MEANING seal (device)EXAMPLES 即·卬·卷·夗HOMEPAGE ► 偏旁
⼙	jié	Kangxi radical number 26NAME 单耳刀 dāněrdāoVARIANTS ⺋·㔾·卩MEANING seal (device)EXAMPLES 即·卬·卷·夗MNEMONIC  A kneeling person - in some cases provides the character meaning as wellRANK 67.7%NOTES  primary form - used on the left side of a character. Most characters don't relate to the characters meaning.HOMEPAGE ► 偏旁
⺁	chǎng 	Variant of radical ⼚ (cliff)EXAMPLES 厄·原·厚·厰HOMEPAGE ► 偏旁
厂	chǎng 	Variant of radical ⼚ (cliff)EXAMPLES 厄·原·厚·厰HOMEPAGE ► 偏旁
𠂆	chǎng 	Variant of radical ⼚ (cliff)EXAMPLES 厄·原·厚·厰HOMEPAGE ► 偏旁
厂字旁	chǎngzìpáng	Name of radical number 27 ⼚MEANING cliffEXAMPLES 厄·原·厚·厰HOMEPAGE ► 偏旁
⼚	chǎng 	Kangxi radical number 27NAME 厂字旁 chǎngzìpángVARIANTS ⺁·厂·𠂆STANDALONE 厂MEANING cliffEXAMPLES 厄·原·厚·厰RANK 79.1%DISTINGHUISH FROM 广,疒,⺁NOTES  aka SLOPE radicalHOMEPAGE ► 偏旁
厶	sī	Variant of radical ⼛ (private)EXAMPLES 台·公·去·參·HOMEPAGE ► 偏旁
私字旁	sīzìpáng	Name of radical number 28 ⼛MEANING privateEXAMPLES 台·公·去·參·HOMEPAGE ► 偏旁
⼛	sī	Kangxi radical number 28NAME 私字旁 sīzìpángVARIANTS 厶MEANING privateEXAMPLES 台·公·去·參·MNEMONIC  Originally a picture of a tightly wound coccoon.  Some interperetations view it as a mouth whisperingRANK 59.0%NOTES  Used in many characters related to silkHOMEPAGE ► 偏旁
又	yòu	Variant of radical ⼜ (again)EXAMPLES 叉·及·友·取HOMEPAGE ► 偏旁
又字旁	yòuzìpáng	Name of radical number 29 ⼜MEANING againEXAMPLES 叉·及·友·取HOMEPAGE ► 偏旁
⼜	yòu	Kangxi radical number 29NAME 又字旁 yòuzìpángVARIANTS 又STANDALONE 又MEANING againEXAMPLES 叉·及·友·取MNEMONIC  primitive representing the right handRANK 76.3%DISTINGHUISH FROM 攵,文NOTES  Like 手, this character also signifies things done by man or with one's hand.  Perhaps because of the higher value placed on the right hand in Chinese culture the meanings here may be of similar value, such as offering friendship (友) or turning against (反).  Modern meaning from sound loan, also called the AGAIN radicalHOMEPAGE ► 偏旁
口	kǒu	Variant of radical ⼝ (mouth)EXAMPLES 哎·古·只·品HOMEPAGE ► 偏旁
口字旁	kǒuzìpáng	Name of radical number 30 ⼝MEANING mouthEXAMPLES 哎·古·只·品HOMEPAGE ► 偏旁
⼝	kǒu	Kangxi radical number 30NAME 口字旁 kǒuzìpángVARIANTS 口STANDALONE 口MEANING mouthEXAMPLES 哎·古·只·品MNEMONIC  This is a simple picture of an open mouthRANK 99.3%DISTINGHUISH FROM 囗NOTES  Used in characters involving things done with one's mouth, eating, speaking, drinking, etc.HOMEPAGE ► 偏旁
囗	wéi	Variant of radical ⼞ (enclosure)EXAMPLES 囚·四·國·圍HOMEPAGE ► 偏旁
国字框	guózìkuàng	Name of radical number 31 ⼞MEANING enclosureEXAMPLES 囚·四·國·圍HOMEPAGE ► 偏旁
⼞	wéi	Kangxi radical number 31NAME 国字框 guózìkuàngVARIANTS 囗STANDALONE 囗MEANING enclosureEXAMPLES 囚·四·國·圍MNEMONIC  Represents a wall surrounding somethingRANK 81.2%DISTINGHUISH FROM 口NOTES  This radical always surrounds or contains other components, that action generally providing a strong clue to the meaning of the character.  Also known as Surround radicalHOMEPAGE ► 偏旁
土	tǔ	Variant of radical ⼟ (earth)EXAMPLES 地·圣·圭·堯HOMEPAGE ► 偏旁
提土旁	títǔpáng	Name of radical number 32 ⼟MEANING earthEXAMPLES 地·圣·圭·堯HOMEPAGE ► 偏旁
⼟	tǔ	Kangxi radical number 32NAME 提土旁 títǔpángVARIANTS 土STANDALONE 土MEANING earthEXAMPLES 地·圣·圭·堯MNEMONIC  a lump of clay on a  potter's wheel or a cross in the earthRANK 96.5%DISTINGHUISH FROM 士NOTES  Earthly attributes and forces tend to be represented under this radical.  Merged with 士 in many dictionariesHOMEPAGE ► 偏旁
士	shì	Variant of radical ⼠ (scholar)EXAMPLES 壬·喜·時·壽HOMEPAGE ► 偏旁
士字旁	shìzìpáng	Name of radical number 33 ⼠MEANING scholarEXAMPLES 壬·喜·時·壽HOMEPAGE ► 偏旁
⼠	shì	Kangxi radical number 33NAME 士字旁 shìzìpángVARIANTS 士STANDALONE 士MEANING scholarEXAMPLES 壬·喜·時·壽MNEMONIC  The story goes that a scholar (士) took ten (十) things and organized them into one (一); possibly a modification of 大RANK 63.1%DISTINGHUISH FROM 土NOTES  This radical is used in characters for desirable human attributes or conditions. Merged with 土 in many dictionariesHOMEPAGE ► 偏旁
