一	nhất
勸	khuyến
勹	bao
勺	chước|thược
勻	quân
勾	câu
勿	vật
匀	quân
匃	cái
包	bao
匆	thông
匈	hung
匊	cúc
匍	bồ
匏	bào
匐	bặc
匕	chủy
化	hóa
北	bắc
匙	thi
匚	phương
匜	di|dị
匝	tạp
匟	kháng
匠	tượng
匡	khuông
匣	hạp
匦	quỹ
匪	phỉ
匭	quỹ
匮	quỹ
匯	hối
匱	quỹ
匳	liêm
匵	độc
匸	hệ
匹	thất
区	khu|âu
医	y
匾	biển
匿	nặc
區	khu|âu
十	thập
千	thiên
卄	nhập|chấp
卅	tạp
升	thăng
午	ngọ
卉	hủy
半	bán
卌	tấp
华	hoa|hóa
协	hiệp
卐	vạn
卑	ti
卒	tốt|tuất|thốt
卓	trác
協	hiệp
单	đan|thiền|thiện
卖	mại
南	nam
博	bác
卜	bốc
卞	biện
占	chiêm|chiếm
卡	tạp
卢	lô
卣	dữu
卤	lỗ
卦	quái
卧	ngọa
卩	tiết
卫	vệ
卬	ngang
卭	ngang
卮	chi
卯	mão
印	ấn
危	nguy
卲	thiệu|thiều
即	tức
却	khước
卵	noãn
卷	quyển|quyến|quyền
卸	tá
卹	tuất
卺	cẩn
卻	khước
卽	tức
卿	khanh
厂	hán
厄	ách|ngỏa
厅	thính|sảnh
历	lịch
厉	lệ|lại
压	áp
厌	yếm|áp|yêm|ấp
厍	xá
厎	chỉ
厓	nhai
厔	chất
厕	xí|trắc
厖	mang
厘	ly
厙	xá
厚	hậu
厝	thố|thác
原	nguyên
厠	xí
厢	sương
厣	áp
厤	lịch
厥	quyết
厦	hạ
厨	trù
厩	cứu
厪	cận
厫	ngao
厭	yếm|áp|yêm|ấp
厮	tư
厯	lịch
厰	xưởng
厲	lệ|lại
厴	áp
厶	khư
厺	khứ
去	khứ|khu
县	huyền|huyện
参	tham|xam|sâm
參	tham|xam|sâm
叅	xam
又	hựu
叉	xoa
及	cập
友	hữu
双	song
反	phản|phiên
发	phát
叔	thúc
取	thủ
受	thụ
变	biến|biện
叙	tự
叚	giả
叛	bạn
叟	tẩu
叠	điệp
叡	duệ
叢	tùng
口	khẩu
古	cổ
句	cú|câu|cấu
另	lánh
叨	thao
叩	khấu
只	chỉ
叫	khiếu
召	triệu
叭	bá
叮	đinh
可	khả|khắc
台	thai|đài|di
叱	sất
史	sử
右	hữu
叵	phả
叶	hiệp
号	hiệu
司	ti|tư
叹	thán
叽	kỉ
吁	hu
吃	cật
各	các
合	hợp|cáp
吉	cát
吊	điếu
同	đồng
名	danh
后	hậu
吏	lại
吐	thổ
向	hướng
吓	hách
吕	lữ|lã
吗	mạ
君	quân
吝	lận
吞	thôn
吟	ngâm
吠	phệ
否	phủ|bĩ
吨	đốn
吩	phân
吪	ngoa
含	hàm
听	thính
吭	hàng|hạng
吮	duyện
吱	chi
吴	ngô
吵	sảo
吶	nột|niệt
吸	hấp
吹	xuy|xúy
吻	vẫn
吼	hống
吽	hồng
吾	ngô
吿	cáo|cốc
呀	nha
呂	lữ|lã
呃	ách
呆	ngốc
呈	trình
呉	ngô
呌	khiêu
呎	xích
呐	nột|niệt
呓	nghệ
呕	ẩu
呖	lịch
呗	bái
员	viên|vân
呛	sang
呜	ô
呢	ni|nỉ
呦	u
周	chu
呪	chú
呫	chiếp
呱	oa
味	vị
呴	ha
呶	nao
呷	hạp
呸	phi
呻	thân
呼	hô|há
命	mệnh
咀	trớ
咂	táp
咄	đốt|đoát
咆	bào
咈	phất
咋	trách|trá
和	hòa|họa
咎	cữu|cao
咏	vịnh
咐	phù|phó
咕	cô
咖	già
咙	lung
咛	ninh
咤	trá
咥	hý|điệt
咦	di
咨	tư
咪	mễ|mị
咫	chỉ
咬	giảo
咯	lạc|khách
咱	cha
咲	tiếu
咳	khái
咷	đào
咸	hàm
