一	nhất
泊	bạc|phách
泌	bí
泐	lặc
泑	ửu
泒	cô
泓	hoằng
泔	cam|hạm
法	pháp
泖	mão
泗	tứ
泚	thử
泛	phiếm
泝	tố
泞	nính
泠	linh
泡	phao|bào
波	ba
泣	khấp
泥	nê|nệ|nễ
注	chú
泪	lệ
泫	huyễn|huyên
泮	phán
泯	mẫn|dân|miến
泰	thái
泱	ương|áng
泳	vịnh
泷	lang
泸	lô
泺	lạc|bạc
泻	tả
泼	bát
泽	trạch
泾	kính
洁	khiết
洄	hồi
洊	tiến
洋	dương
洌	liệt
洎	kịp
洑	phục
洒	sái|tẩy|thối
洗	tẩy|tiển
洙	thù|chu
洚	giáng|hồng
洛	lạc
洞	đỗng
洟	di|thế
津	tân
洧	vị
洨	hào
洩	duệ|tiết
洪	hồng
洫	hức
洮	thao|đào
洱	nhị
洲	châu
洳	như
洴	bình
洵	tuân
洶	hung
活	hoạt|quạt
洼	oa
洽	hiệp|hợp
派	phái
洿	ô|hộ
流	lưu
浃	tiếp
浅	thiển|tiên
浆	tương
浇	kiêu|nghiêu
浊	trọc|trạc
测	trắc
浍	quái
济	tể|tế
浏	lưu|lựu
浑	hồn
浒	hử
浓	nùng
浔	tầm
浙	chiết
浚	tuấn
浜	banh
浞	trác
浡	bột
浣	hoán|cán
浥	ấp
浦	phổ|phố
浩	hạo
浪	lãng|lang
浬	lí
浭	canh
浮	phù
浴	dục
海	hải
浸	tẩm
浹	tiếp
浼	mỗi|miễn
浿	phối|phái|bái
涂	đồ
涅	niết
涇	kính
消	tiêu
涉	thiệp
涊	niễn
涌	dũng
涎	tiên|diện|duyên
涑	tốc
涓	quyên
涔	sầm
涕	thế
涖	lị
涘	sĩ
涛	đào
涝	lạo|lão|lao
涞	lai
涟	liên
涡	qua|oa
涣	hoán
涤	địch
润	nhuận
涧	giản
涨	trướng
涩	sáp
涪	phù
涯	nhai
液	dịch
涵	hàm
涸	hạc
涼	lương|lượng
涿	trác
淀	điến
淅	tích
淆	hào
淇	kì
淋	lâm
淌	thảng
淑	thục
淒	thê|thiến
淖	náo
淘	đào
淙	tông
淚	lệ
淛	chiết
淝	phì
淞	tùng
淟	điến
淡	đạm
淤	ứ
淥	lục
淦	cam
淨	tịnh
淩	lăng
淪	luân
淫	dâm
淬	thối
淮	hoài
深	thâm
淳	thuần
淵	uyên
淶	lai
混	hỗn|cổn
淹	yêm|yểm
淺	thiển|tiên
添	thiêm
淼	miểu
清	thanh
渊	uyên
渌	lục
渍	tí
渎	độc|đậu
渐	tiệm|tiêm|tiềm
渑	thằng|mẫn
渔	ngư
渖	thẩm
渗	sấm
渙	hoán
渚	chử
減	giảm
渝	du
渟	đình
渠	cừ
渡	độ
渣	tra
渤	bột
渥	ác
渦	qua|oa
温	ôn|uẩn
測	trắc
渭	vị
渮	ca
港	cảng
渲	tuyển
渴	khát|kiệt
游	du
渺	miểu|diểu
渾	hồn
湃	phái
湄	mi
湅	luyện
湊	thấu
湍	thoan
湎	miện
湓	bồn
湔	tiên
湖	hồ
湘	tương|sương
湛	trạm|đam|thầm|tiêm
湜	thực
湣	mẫn
湧	dũng
湩	chúng
湫	tưu|tiểu|tiều
湯	thang|sương|thãng
湲	viên
湽	truy
湾	loan
湿	thấp|chập
溃	hội
溅	tiên|tiễn
溆	tự
溏	đường
源	nguyên
準	chuẩn|chuyết
溘	khạp
溝	câu
溟	minh
溢	dật
溥	phổ
溧	lật
溪	khê
溫	ôn|uẩn
溯	tố
溱	trăn
溲	sửu|sưu
溴	xú
溶	dong
溷	hỗn
溺	nịch|niệu
溼	thấp
溽	nhục
滁	trừ
滂	bàng
滃	ổng
滄	thương
滅	diệt
滇	điền
滋	tư
滌	địch
滎	huỳnh
滏	phũ
滑	hoạt|cốt
滓	chỉ
滔	thao|đào
滕	đằng
滙	hối
滚	cổn
滞	trệ
滟	liễm
满	mãn
滤	lự
滥	lạm|lãm|cãm
滦	loan
滨	tân
滩	than
滫	tưu
滬	hỗ
滯	trệ
滲	sấm
滴	tích|trích
滷	lỗ
滸	hử
滹	hô
滾	cổn
滿	mãn
漁	ngư
漂	phiêu|phiếu
漆	tất|thế
漈	tế
漉	lộc
漏	lậu
漑	cái|khái
漓	li
演	diễn
漕	tào
漘	thần
漙	đoàn
漚	ẩu|âu
漠	mạc
漢	hán
漣	liên
漥	oa
漩	tuyền
漪	y
漫	mạn|man
漬	tí
漯	tháp
漱	sấu|thấu
漲	trướng
漳	chương
漵	tự
漶	hoán
漸	tiệm|tiêm|tiềm
漾	dạng
漿	tương
潁	toánh|dĩnh
潆	oanh|uynh
潇	tiêu
潋	liễm
潍	duy
潑	bát
潔	khiết
潘	phan
潛	tiềm
潜	tiềm
潞	lộ
潟	tích
潢	hoàng
潤	nhuận
潦	lạo|lao
潭	đàm
潮	triều
潯	tầm
潰	hội
潴	trư
潸	san
潺	sàn
潼	đồng
澀	sáp
澁	sáp
澂	trừng
澄	trừng
澆	kiêu|nghiêu
澇	lạo|lão|lao
澈	triệt
澌	ti|tê
澍	chú
澎	bành
澗	giản
澜	lan
澠	thằng|mẫn
澡	táo|tháo
澣	cán
澤	trạch
澥	hải|giải
澧	lễ
澨	phệ
澮	quái
澱	điến
澳	úc|áo
澶	thiền|đạn
澼	phích
激	kích
濁	trọc|trạc
濂	liêm
濃	nùng
濆	phần|phẫn
濊	uế|khoát
濑	lại
濒	tần
濕	thấp|chập
濘	nính
濛	mông
濟	tể|tế
濠	hào
濡	nhu|nhi
濤	đào
濫	lạm|lãm|cãm
濬	tuấn
濮	bộc
濯	trạc
濰	duy
濱	tân
濺	tiên|tiễn
濼	lạc|bạc
濾	lự
瀆	độc|đậu
瀉	tả
瀋	thẩm
瀍	triền
瀏	lưu|lựu
瀑	bộc
瀕	tần
瀘	lô
瀚	hãn
瀛	doanh
瀝	lịch
瀟	tiêu
瀠	oanh|uynh
瀡	tủy
瀣	dới
瀦	trư
瀧	lang
瀨	lại
瀲	liễm
瀹	thược
瀼	nhương|nhưỡng
瀾	lan
灉	ung
灊	tiềm
灌	quán
灏	hạo
灑	sái
灘	than
灝	hạo
灞	bá
灣	loan
灤	loan
灨	cám|công
灩	liễm
火	hỏa
灭	diệt
灯	đăng
灰	hôi|khôi
灳	linh
灵	linh
灸	cứu
灼	chước
災	tai
灾	tai
灿	xán
炀	dương|dượng
炁	khí
炉	lô
炊	xuy|xúy
炎	viêm|đàm|diễm
炒	sao
炕	kháng
炖	đôn|đốn
炙	chích|chá
炜	vĩ
炧	đả
炫	huyễn
炬	cự
炭	thán
炮	pháo|bào
炯	quýnh|huỳnh
炰	bào
炱	đài
炳	bỉnh|bính
炷	chú
炸	tạc
点	điểm
為	vi
炼	luyện
炽	sí
烁	thước
烂	lạn
烈	liệt
烊	dương
烏	ô
烖	tai
烘	hồng
烙	lạc
烛	chúc
烝	chưng|chứng
烟	yên
烤	khảo
烦	phiền
烧	thiêu|thiếu
烨	diệp
烩	quái
烫	năng
烬	tẫn
热	nhiệt
烹	phanh
烽	phong
焉	yên|diên
焕	hoán
焖	muộn
焘	đảo
焙	bồi
焚	phần|phẫn
焜	hỗn|côn
焠	thối
無	vô|mô
焦	tiêu|tiều
焮	hân
焰	diễm
焱	diễm
然	nhiên
煅	đoán
煇	huy
煉	luyện
煊	huyên
煌	hoàng
煎	tiên|tiễn
煏	phức
煑	chử
煒	vĩ
煕	hi
煖	noãn|huyên
煙	yên
煜	dục
煞	sát
煠	sáp
煢	quỳnh
煤	môi
煥	hoán
煦	hú
照	chiếu
煨	ổi
煩	phiền
煬	dương|dượng
煼	sao
煽	phiến
熄	tức
熇	hốc|khảo
熊	hùng
熏	huân
熒	huỳnh
熔	dong
熟	thục
熠	dập|tập
熨	uất|úy
熬	ngao
熯	hãn|nhiễn
熱	nhiệt
熲	quýnh
熹	hy
熾	sí
燁	diệp
燃	nhiên
燄	diễm
燈	đăng
燉	đôn|đốn
燎	liệu
燐	lân
燒	thiêu|thiếu
燔	phần
燕	yến|yên
燖	tầm
燙	năng
燜	muộn
營	doanh|dinh
燠	úc|ứ|ốc
燥	táo
燦	xán
燧	toại
燬	hủy
燭	chúc
燮	tiếp
燴	quái
燹	tiển
燻	huân
燼	tẫn
燾	đảo
燿	diệu
爆	bạo|bạc|bộc
爇	nhiệt
爍	thước
爐	lô
爗	diệp
爚	dược
爛	lạn
爝	tước
爨	thoán
爪	trảo
爬	ba
爭	tranh|tránh
爮	bào
爰	viên
爱	ái
爲	vi|vị
爵	tước
父	phụ|phủ
爷	gia
爹	đa|đà
爺	gia
爻	hào
爽	sảng
爾	nhĩ
爿	tường
牀	sàng
牁	ca
牂	tang
牆	tường
片	phiến
版	bản
牋	tiên
牌	bài
牍	độc
牏	du
牐	sáp
牒	điệp
牓	bảng
牕	song
牖	dũ|dữu
牘	độc
牙	nha
牚	sanh
牛	ngưu
牝	tẫn|bẫn
牟	mưu|mâu
牡	mẫu
牢	lao
牣	nhận
牧	mục
物	vật
牮	tiến
牯	cổ
牲	sinh
牴	để
牵	khiên|khản
牸	tự
特	đặc
牺	hy
牼	khanh
牽	khiên|khản
牾	ngộ
犀	tê
犁	lê
犂	lê|lưu
犇	bôn
犊	độc
犍	kiền
犎	phong
犒	khao
犖	lạc
犛	mao|ly
犢	độc
犧	hy
犬	khuyển
犯	phạm
犴	ngạn|ngan
状	trạng
犷	quánh
犹	do
狀	trạng
狁	duẫn
狂	cuồng
狃	nữu
狄	địch|thích
狈	bái
狉	phi
狌	tính|tinh
狎	hiệp
狐	hồ
狒	phí
狓	phi
狖	dứu
狗	cẩu
狙	thư
狞	nanh
狠	ngoan|ngận
狡	giảo
狥	tuẫn
狨	nhung
狩	thú
独	độc
狭	hiệp
狮	sư
狯	quái
狰	tranh
狱	ngục
狲	tôn
狴	bệ
狷	quyến
狸	li
狹	hiệp
狺	ngân
狻	toan
狼	lang
狽	bái
猁	lị
猂	hãn
猃	hiểm
猊	nghê
猎	liệp
猕	mi|di
猖	xương
猗	y|ỷ|ả
猘	chế
猙	tranh
猛	mãnh
猜	sai
猝	thốt
猞	xá
猢	hồ
猥	ổi
猩	tinh
猪	trư
猫	miêu
献	hiến
猱	nhu
猴	hầu
猶	do|dứu
猷	du
猺	dao
猻	tôn
猾	hoạt
猿	viên
獀	sưu
獃	ngai
獄	ngục
獅	sư
獉	trăn
獍	kính
獎	tưởng
獐	chương
獒	ngao
獗	quyết|quệ
獘	tệ
獞	đồng
獠	lão|liêu
獧	quyến
獨	độc
獪	quái
獫	hiểm
獬	giải|hải
獭	thát
獮	tiển
獯	huân
獰	nanh
獲	hoạch
獵	liệp
獷	quánh
獸	thú
獺	thát
獻	hiến
獼	mi|di
獾	hoan
玁	hiểm
玄	huyền
玅	diệu
率	suất|súy|luật|soát
玈	lô
玉	ngọc|túc
王	vương|vượng
玑	ki
玕	can
玖	cửu
玛	mã
玞	phu
玟	mân
玦	quyết
玨	giác
玩	ngoạn
玫	mai
玮	vĩ
环	hoàn
现	hiện
玲	linh
玳	đại
玷	điếm
玺	tỉ
玻	pha
珀	phách
珂	kha
珉	mân|dân
珊	san
珍	trân
珏	giác
珐	pháp
珑	lung
珞	lạc
珠	châu
珥	nhị
珧	diêu
珩	hành
珪	khuê
班	ban
珮	bội
珲	hồn
珷	vũ
現	hiện
球	cầu
琅	lang
理	lý
琉	lưu
琊	gia
琏	liễn
琐	tỏa
琖	trản
琚	cư
琛	sâm
琢	trác
琤	tranh
琥	hổ
琦	kỳ
琨	côn
琪	kỳ
琬	uyển
琮	tông
琯	quản
琰	diễm
琲	bội
琳	lâm
琴	cầm
琵	tỳ
琹	cầm
琺	pháp
琼	quỳnh
琿	hồn
瑁	mạo|mội
瑄	tuyên
瑇	đại
瑉	mân
瑋	vĩ
瑑	triện
瑕	hà
瑗	viện
瑙	não
瑚	hô|hồ
瑛	anh
瑜	du
瑞	thụy
瑟	sắt
瑣	tỏa
瑤	dao
瑩	oánh
瑪	mã
瑯	lang
瑰	côi|khôi
瑱	thiến|chấn
瑲	thương
瑴	giác
瑶	dao
瑽	xung
瑾	cẩn
璀	thôi
璃	ly
璅	tỏa
璆	cầu
璇	tuyền
璈	ngao
璉	liễn
璋	chương
璎	anh
璐	lộ
璜	hoàng
璞	phác
璠	phan
璢	lưu
璣	ki
璧	bích
璨	xán
璩	cừ
璪	tảo
璫	đang
環	hoàn
璵	dư
璽	tỉ
璿	tuyền
瓀	nhuyên
瓈	lê
瓊	quỳnh
瓏	lung
瓒	toản
瓔	anh
瓚	toản
瓜	qua
瓞	điệt
瓠	hồ|hoạch
瓢	biều
瓣	biện
瓤	nhương
瓦	ngõa
瓯	âu
瓴	linh
瓷	từ
瓻	hi
瓿	bẫu|phẫu
甁	bình
甃	trứu
甄	chân|chấn
甆	từ
甌	âu
甍	manh
甎	chuyên
甑	tắng
甒	vũ
甓	bích
甕	úng
甖	anh
甗	nghiễn
甘	cam
甚	thậm
甜	điềm
生	sanh|sinh
甡	sân
產	sản
甥	sanh
甦	tô
用	dụng
甫	phủ
甬	dũng
甯	nịnh|ninh
田	điền
由	do
甲	giáp
申	thân
电	điện
男	nam
甸	điện|điền
町	đinh
画	hoạch
畀	tý
畂	điền
畅	sướng
畆	mẫu
畊	canh
界	giới
畎	quyến
畏	úy
畔	bạn
留	lưu
畚	bổn
畛	chẩn
畜	súc|húc
畝	mẫu
畞	mẫu
畢	tất
畣	đáp
略	lược
畦	huề
畨	phiên
番	phiên|phan|ba|bà
畫	họa|hoạch
畬	dư
畮	mẫu
畯	tuấn
異	dị
畱	lưu
畲	dư
畴	trù
當	đương|đáng
畸	ki
畹	uyển
畽	thoản
畿	kì
疄	lân
疆	cương
疇	trù
疊	điệp
疋	sơ|nhã|thất
疎	sơ
疏	sơ|sớ
疐	chí
疑	nghi
疒	nạch
疓	đinh
疖	tiết
疗	liệu
疘	giang
疙	ngật
疚	cứu
疝	sán
疟	ngược
疠	lệ
疡	dương
疢	sấn
疣	vưu
疤	ba
疥	giới
疫	dịch
疮	sang
疯	phong
疰	chú
疲	bì
疳	cam
疴	a|kha
疵	tỳ
疸	đản
疹	chẩn
疼	đông
疽	thư
疾	tật
疿	phi
痀	câu|củ
痁	thiêm
痂	già
痃	hiền|huyền
痄	chá
病	bệnh
症	chứng
痈	ung
痉	kinh
痊	thuyên
痌	thông|đồng
痍	di
痎	giai
痏	vị
痒	dương
痔	trĩ
痕	ngân
痗	mội
痘	đậu
痙	kinh
痛	thống
痞	bĩ
痠	toan
痢	lị
痣	chí
痧	sa
痨	lao
痪	hoán
痰	đàm
痱	phi|phỉ
痲	ma
痳	lâm
痴	si
痹	tý
痺	tý
痼	cố
痾	a
痿	nuy
瘀	ứ
瘁	tụy
瘃	chúc
瘅	đản|đan
瘈	khế
瘊	hầu
瘋	phong
瘌	lạt
瘍	dương
瘏	đồ
瘐	dũ
瘓	hoán
瘕	hà|gia
瘖	âm
瘗	ế
瘛	xiết|khiết
瘝	quan
瘞	ế
瘟	ôn
瘠	tích
瘡	sang
瘢	ban
瘤	lựu
瘥	ta|sái
瘦	sấu
瘧	ngược
瘩	đáp
瘪	biết|tất
瘫	than
瘭	tiếu|tiêu
瘰	lỗi|lõa
瘲	túng
瘳	sưu
瘴	chướng
瘵	sái
瘸	qua
瘻	lũ
瘼	mạc
瘾	ẩn
瘿	anh
療	liệu
癃	lung
癅	lựu
癆	lao
癉	đản|đan
癌	nham
癎	giản
癒	dũ
癖	phích|tích
癗	lũy
癘	lệ
癜	điến
癞	lại
癟	biết|tất
癡	si
癢	dưỡng|dạng
癣	tiển
癤	tiết
癥	trưng
癧	lịch
癩	lại
癫	điên
癬	tiển
癭	anh
癮	ẩn
癯	cù
癰	ung
癱	than
癲	điên
癶	bát
癸	quý
登	đăng
發	phát
白	bạch
百	bách|bá|mạch
皁	tạo
的	đích|để
皆	giai
皇	hoàng
皈	quy
皋	cao
皎	kiểu|hiệu
皐	cao
皑	ngai
皓	hạo
皖	hoàn|hoán
皙	tích
皚	ngai
皜	hạo|cảo
皞	hạo
皡	hạo
皤	bà
皦	kiểu
皭	tước
皮	bì
皰	pháo
皱	trứu
皲	quân
皴	thuân
皸	quân
皺	trứu
皻	cha
皼	cổ
皿	mãnh
盂	vu
盃	bôi
盅	chung
盆	bồn
盇	hạp
盈	doanh
益	ích
盌	oản
盍	hạp
盎	áng
盏	trản
盐	diêm
监	giam|giám
盒	hạp
盔	khôi
盖	cái
盗	đạo
盘	bàn
盛	thịnh|thình
盜	đạo
盞	trản
盟	minh
盡	tận|tẫn
監	giam|giám
盤	bàn
盥	quán
盦	am
盧	lô
盩	chu
盪	đãng
盬	cổ
目	mục
盱	hu
盲	manh
直	trực
相	tương|tướng
盹	truân
盻	hễ
盼	phán
盾	thuẫn
省	tỉnh
眄	miện
眇	miễu
眈	đam
眉	my|mi
眊	mạo
看	khán
眎	thị
眙	dị|di
眚	sảnh
眛	muội
眞	chân
真	chân
眠	miên
眡	thị
眢	oan
眥	tí|xải|trại
眨	trát
眩	huyễn
眯	mị
眱	di
眵	si
眶	khuông
眷	quyến
眸	mâu
眺	thiếu
眼	nhãn
眽	mạch
眾	chúng
着	khán
睁	tĩnh|tranh
睅	hạn
睆	hoản
睇	thê|đê
睊	quyến
睍	hiển
睏	khốn
睐	lãi
睚	nhai
睛	tình
睜	tĩnh|tranh
睞	lãi
睟	túy
睡	thụy
睢	tuy|huy
督	đốc
睥	bễ
睦	mục
睨	nghễ
睪	dịch
睫	tiệp
睬	thải
睹	đổ
睽	khuê
睾	dịch
睿	duệ
瞀	mậu
瞄	miểu
瞇	mị
瞋	sân
瞌	khạp
瞍	tẩu
瞎	hạt
瞑	minh|miễn
瞒	man|môn
瞖	ế
瞞	man|môn
瞠	sanh
瞢	măng
瞥	miết
瞧	tiều
瞩	chúc
瞪	trừng
瞬	thuấn
瞭	liệu
瞰	khám
瞳	đồng
瞶	quý
瞷	gián
瞻	chiêm
瞽	cổ
瞾	chiếu
瞿	cù|củ
矇	mông
矉	tần
矍	quắc
矑	lô
矗	súc
矙	khám
矚	chúc
矛	mâu
矜	căng
矞	duật
矟	sáo|sác
矢	thỉ
矣	hĩ
知	tri
矦	hầu
矧	thẩn
矩	củ
矫	kiểu
短	đoản
矮	ải|nụy
矯	kiểu
矰	tăng
矱	hoạch
石	thạch
矶	ki
矻	khốt|ngột
矼	cang|khang|xoang
矽	tịch
矾	phàn
矿	quáng
砀	nãng|nương
码	mã
砂	sa
砆	phu
砉	hoạch
砌	thế
砍	khảm
砑	nhạ
砒	tì
砗	xa
砚	nghiễn
砝	kiếp|pháp
砥	chỉ
砦	trại
砧	châm
砭	biêm
砮	nỗ
砲	pháo
破	phá
砷	thân
砺	lệ
砻	lung
砾	lịch
础	sở
硃	chu
硇	nao
硎	hình
硏	nghiên|nghiễn
硕	thạc
硗	khao|nghiêu
硜	khanh
硝	tiêu
硨	xa
硫	lưu
硬	ngạnh
确	xác
硯	nghiễn
硼	bằng
碁	kỳ
碇	đĩnh
碉	điêu
碌	lục
碍	ngại
碎	toái
碑	bi
碓	đối
碔	vũ
碗	oản
碘	điển
碛	thích
碞	nham
碟	điệp
碡	độc
碣	kiệt|kệ
碧	bích
碩	thạc
碪	châm
碭	nãng|nương
碯	não
碰	bính|binh
碱	thiêm
確	xác
碼	mã
碾	niễn|chiển
磁	từ
磅	bàng|bảng
磉	tảng
磊	lỗi
磋	tha
磐	bàn
磑	ngại|cai
磔	trách
磕	khái
磗	chuyên
磠	lỗ
磧	thích
磨	ma|má
磬	khánh
磯	ki
磲	cừ
磴	đặng
磷	lân|lấn
磺	hoàng
磻	bàn|bà
磽	khao|nghiêu
礁	tiều
礌	lôi
礎	sở
礙	ngại
礜	dự
礞	mông
礟	pháo
礦	quáng
礧	lôi
礪	lệ
礫	lịch
礬	phàn
礮	pháo
礱	lung
礴	bạc
示	kì|thị
礼	lễ
礽	nhưng
社	xã
礿	dược|thược
祀	tự
祁	kì
祇	kì|chi
祈	kì
祉	chỉ
祊	banh
祐	hữu
祓	phất
祔	phụ
祕	bí
祖	tổ
祗	chi
祘	toán
祚	tộ
祛	khư
祜	hỗ
祝	chúc|chú
神	thần
祟	túy|trúy
祠	từ
祥	tường
祧	thiêu|diêu
票	phiếu|tiêu|phiêu
祫	hợp
祭	tế|sái
祯	trinh
祲	tẩm
祷	đảo
祸	họa
祺	kì
祼	quán
祿	lộc
禀	bẩm
禁	cấm|câm
禄	lộc
禅	thiện|thiền
禊	hễ
禋	nhân|yên
禍	họa
禎	trinh
福	phúc
禔	đề
禕	y
禖	môi
禘	đế
禡	mã
禦	ngữ
禧	hi
禩	tự
禪	thiện|thiền
禫	đạm
禮	lễ
禰	nỉ
禱	đảo
禳	nhương
禴	dược
禸	nhựu
禹	vũ
禺	ngu
离	ly
禽	cầm
禾	hòa
禿	ngốc
秀	tú
私	tư
秃	ngốc
秆	cán
秈	tiên
秉	bỉnh
秊	niên
秋	thu
种	chủng|chúng
科	khoa
秒	miểu
秔	canh
秕	bỉ
秖	kì
秘	bí
租	tô
秣	mạt
秤	xứng
秦	tần
秧	ương
秩	trật
秫	thuật
秬	cự
秭	tỉ
积	tích|tí
称	xưng|xứng
秸	kiết
移	di|dị|sỉ
秽	uế
稀	hi
稂	lang
稃	phù
稅	thuế|thối|thoát
稈	cán
稊	đề
程	trình
稌	đồ
稍	sảo|sao
税	thuế|thối|thoát
稔	nhẫm|nẫm
稗	bại
稚	trĩ
稜	lăng|lắng
稞	khoa
稟	bẩm|lẫm
稠	trù
稣	tô
稭	giai|kiết
種	chủng|chúng
稱	xưng|xứng
稳	ổn
稷	tắc
稺	trĩ
稻	đạo
稼	giá
稽	kê|khể
稾	cảo
稿	cảo
穀	cốc
穄	tế
穅	khang
穆	mục|mặc
穇	sam
穈	môn
穉	trĩ
穌	tô
積	tích|tí
穎	dĩnh
穑	sắc
穗	tuệ
穠	nùng
穡	sắc
穢	uế
穤	nhu
穨	đồi
穩	ổn
穫	hoạch
穰	nhương|nhưỡng
穴	huyệt
穵	ấp
究	cứu
穷	cùng
穸	tịch
穹	khung
空	không|khống|khổng
穽	tỉnh
穿	xuyên
窀	truân
突	đột
窃	thiết
窄	trách
窅	yểu
窆	biếm
窈	yểu
窊	oa
窍	khiếu
窑	diêu
窒	trất
窓	song
窔	yểu|diểu
窕	điệu|thiêu
窖	diếu
窗	song
窘	quẫn
窜	thoán
窝	oa
窞	đạm|nảm.
窟	quật
窠	khòa
窣	tốt
窥	khuy
窦	đậu
窨	ấm
窩	oa
窪	oa
窬	du
窭	cũ|lũ
窮	cùng
窯	diêu
窰	diêu
窳	dũ
窵	điếu
窶	cũ|lũ
窸	tất
窺	khuy
窾	khoản
窿	lung
竄	thoán
竅	khiếu
竇	đậu
竈	táo
竊	thiết
立	lập
竖	thụ
站	trạm
竚	trữ
竝	tịnh
竞	cạnh
竟	cánh
章	chương
竣	thuân|thuyên
童	đồng
竦	tủng
竪	thụ
竫	tĩnh
竭	kiệt
端	đoan
競	cạnh
竸	cạnh
竹	trúc
竺	trúc|đốc
竽	vu
竾	trì
竿	can|cán
笃	đốc
笆	ba
笇	toán
笈	cấp
笊	tráo
笋	duẩn
笏	hốt
笑	tiếu
笔	bút
笙	sanh
笛	địch
笞	si
笠	lạp
笥	tứ
符	phù
笨	bổn
笪	đát
笫	chỉ
第	đệ
笱	cú|cẩu
笳	già
笵	phạm
笺	tiên
笼	lung|lộng
笾	biên
筅	tiển
筆	bút
筇	cung
等	đẳng
筋	cân
筌	thuyên
筍	duẩn|tấn
筏	phiệt
筐	khuông
筑	trúc
筒	đồng
筓	kê
答	đáp
策	sách
筚	tất
筛	si
筝	tranh
筞	sách
筠	quân
筢	ba
筤	lang
筥	cử
筦	quản
筩	đồng
筭	toán
筮	thệ|phệ
筯	trợ
筰	tạc
筱	tiểu
筲	sao
筳	đình
筴	sách|giáp|hiệp
筵	diên
筷	khoái
筸	cao
筹	trù
签	thiêm
简	giản
箆	bề
箇	cá
箋	tiên
箍	cô
箏	tranh
箑	tiệp
箒	trửu
箔	bạc
箕	ky|cơ
算	toán
箚	tráp
箜	không
箝	kiềm
箠	chủy
管	quản
箦	trách
箧	khiếp
箨	thác
箩	la
箪	đan
箫	tiêu
箬	nhược
箭	tiến
箯	tiên
箱	tương|sương
箲	tiển
箴	châm
箸	trứ|trợ
節	tiết|tiệt
篁	hoàng
範	phạm
篆	triện
篇	thiên
築	trúc
篋	khiếp
篌	hầu
篓	lâu|lũ
篔	vân
篙	cao
篚	phỉ
篛	nhược
篝	câu
篠	tiểu
篡	soán
篤	đốc
篥	lật
篦	bề
篨	trừ
篩	si
篪	trì
篮	lam
篱	li
篲	tuệ
篳	tất
篴	địch
篷	bồng
篼	đâu
篾	miệt
簀	trách
簇	thốc|thấu
簉	sứu
簋	quỹ
簍	lâu|lũ
簏	lộc
簑	thoa
簒	soán
簖	đoán
簞	đan
簟	điệm
簠	phủ
簡	giản
簦	đăng
簧	hoàng
簨	tuẩn
簪	trâm
簫	tiêu
簮	trâm
簴	cự
簷	diêm
簸	bá
簹	đương
簽	thiêm
簾	liêm
簿	bộ|bạc
籁	lại
籃	lam
籌	trù
籍	tịch|tạ
籐	đằng
籑	soạn
籒	trứu
籖	thiêm
籙	lục
籛	tiên
籜	thác
籟	lại
籠	lung|lộng
籤	thiêm
籥	thược
籧	cừ
籩	biên
籪	đoán
籬	li
籮	la
籯	doanh
籰	dược
籲	dụ
米	mễ
籴	địch
类	loại
籼	tiên
籽	tử
粃	chủy
粇	canh
粉	phấn
粒	lạp
粕	phách
粗	thô
粘	niêm
粛	túc
粞	tê
粟	túc
粢	tư|tế
粤	việt (13 n)
粥	chúc|dục
粧	trang
粪	phẩn
粮	lương
粰	phu
粱	lương
粲	sán
粳	canh|cánh|ngạnh
粵	việt (13 n)
粹	túy
粺	bại
粽	tống
精	tinh
糁	tảm
糅	nhữu
糇	hầu
糈	tư
糉	tống
糊	hồ
糐	đoàn
糒	bí
糕	cao
糖	đường
糗	khứu
糙	tháo
糜	mi
糝	tảm
糞	phẩn
糟	tao
糠	khang
糧	lương
糯	nhu
糰	đoàn
糱	nghiệt
糲	lệ
糴	địch
糵	nghiệt
糶	thiếu
糸	mịch
系	hệ
糾	củ|kiểu
紀	kỉ
紂	trụ
紃	xuyên
約	ước
紅	hồng
紆	hu|u
紇	hột
紈	hoàn
紉	nhân|nhận
紊	vặn
紋	văn
納	nạp
紐	nữu
紓	thư
純	thuần|chuẩn|đồn|truy
紕	bì|phi
紗	sa
紘	hoành
紙	chỉ
級	cấp
紛	phân
紜	vân
紝	nhâm
素	tố
紡	phưởng
索	tác|sách
紥	trát
紧	khẩn
紫	tử
紬	trừu
紮	trát
累	luy|lũy|lụy
細	tế
紱	phất
紲	tiết
紳	thân
紵	trữ
紹	thiệu
紺	cám
紼	phất
紾	chẩn|diễn
紿	đãi
絀	truất|chuyết
終	chung
絃	huyền
組	tổ
絅	quýnh
絆	bán
絍	nhâm
絏	tiết
結	kết
絕	tuyệt
絖	khoáng
絚	căng
絛	thao
絜	kiết|hiệt|khiết
絞	giảo|hào
絡	lạc
絢	huyến
給	cấp
絨	nhung
絪	nhân
絫	lũy
絮	nhứ
絰	điệt
統	thống
絲	ti
絳	giáng
絷	trập
絹	quyên
絺	hi
綁	bảng
綃	tiêu
綆	cảnh
綈	đề
綉	tú
綌	khích
綍	phất
綏	tuy|thỏa
經	kinh
綜	tống|tông
綠	lục
綢	trù|thao
綣	quyển
綦	kì
綫	tuyến
綬	thụ
維	duy
綮	khể|khính
綯	đào
綰	oản
綱	cương
網	võng
綳	banh
綴	chuế|chuyết|xuyết
綵	thải
綷	túy
綸	luân
綹	lữu
綺	khỉ|ỷ
綻	trán
