dobbeltseng	dobbeltsengene|dobbeltsenga|dobbeltsenger
doktorgrad	doktorgrader|doktorgradar|doktorgraden|doktorgradene|doktorgrada|doktorgradane
dokument	dokumenta|dokumentet
dokumentmappe	dokumentmapper|dokumentmappa|dokumentmappene
dolk	dolken|dolkar|dolkane
domstol	domstolar|domstolane|domstolen
drabantby	drabantbyen|drabantbyane|drabantbyar
dramatisk	dramatiske
drap	drapet|drapa
drastisk	drastiske
dreiebenk	dreiebenken|dreiebenker|dreiebenkar|dreiebenkane|dreiebenkene
drepe	drep|drepande|drap|drepast
dress	dressen|dressane|dressar
drikk	drikkene|drikkane|drikken|drikker|drikkar
drivstoff	drivstoffa|drivstoffet
dronning	dronninga|dronningane|dronningar
drosje	drosjer|drosja|drosjene
drypp	dryppet|dryppa
duft	dufter|dufta|duftene
dverg	dvergane|dvergar|dvergen
dynamisk	dynamiske
dynamitt	dynamitten
død	dødaste|dødt|døde|dødare|dødast|døden
dødsstraff	dødsstraffer|dødsstraffa|dødsstraffene
døgn	døgna|døgnet
dør	dørene|døra|dører
dørmatte	dørmatter|dørmatta|dørmattene
dørslag	dørslaga|dørslaget
edderkopp	edderkoppane|edderkoppen|edderkoppar
eddik	eddikar|eddikane|eddiken
edel	edlast|edlaste|edle|edlare|edelt
edelstein	edelsteinar|edelsteinen|edelsteinane
effekt	effekten|effektar|effektane
egg	egget|egga
eggeplomme	eggeplommer|eggeplomma|eggeplommene
egyptisk	egyptiske
eid	eidet|eidar|eidane|eida|eiden
eigen	eige|eiga|eigne
eik	eiker|eika|eikene
ekko	ekkoet|ekkoa
ekkolodd	ekkoloddet|ekkolodda
ekorn	ekorna|ekornet
eksakt	eksakte
eksempel	eksempla|eksempelet
eksemplar	eksemplaret|eksemplara
eksemplarisk	eksemplariske
eksistens	eksistensar|eksistensen|eksistensane
eksistere	eksisterande|eksisterast|eksisterte|eksisterer|eksistert|eksister
eksos	eksosen
ekspedisjon	ekspedisjonar|ekspedisjonen|ekspedisjonane
eksperiment	eksperimenta|eksperimentet
eksplosjon	eksplosjonane|eksplosjonar|eksplosjonen
ekstrem	ekstremt|ekstreme
ekstremist	ekstremisten|ekstremistar|ekstremistane
ektemann	ektemenn|ektemannen|ektemennene
ektepar	ektepara|ekteparet
ekteskap	ekteskapa|ekteskapet
ekvator	ekvatoren|ekvatorane|ekvatorar
elastisk	elastiske
elefant	elefantar|elefanten|elefantane
elektrisitet	elektrisiteten
elektrisk	elektriske
elektromotor	elektromotorane|elektromotoren|elektromotorar
elektronikk	elektronikken
elektronisk	elektroniske
element	elementet|elementa
elementær	elementære|elementært
elg	elgane|elgar|elgen
elv	elver|elven|elvar|elvane|elva|elvene
emalje	emaljen|emaljane|emaljar
enda	endast|endande|endar
ende	endast|enda|endane|endande|enden|endar
endestasjon	endestasjonane|endestasjonar|endestasjonen
endre	endra|endrast|endrande|endrar
endring	endringar|endringa|endringane
energi	energiane|energien|energiar
engel	englar|englane|engelen
engelsk	engelskast|engelske|engelsken|engelskare|engelskaste
engelskmann	engelskmenn|engelskmennene|engelskmannen
enkel	enklast|enklare|enklaste|enkle|enkelt
enkelt	enkelte
enorm	enormt|enorme
entreprenør	entreprenørane|entreprenørar|entreprenøren
epidemi	epidemiane|epidemiar|epidemien
epilepsi	epilepsien
eple	eplet|epla
erfaren	erfarne|erfarent|erfare
erfaring	erfaringane|erfaringar|erfaringa
erklæring	erklæringane|erklæringar|erklæringa
erme	ermet|erma
erobre	erobra|erobrar|erobrande|erobrast
erstatning	erstatningane|erstatningar|erstatninga
esel	esla|eselet
eske	esker|eska|eskene
estetisk	estetiske
etablering	etableringa|etableringar|etableringane
etasje	etasjen|etasjar|etasjane
ete	etast|åt|etande|et
etikk	etikken
etnisk	etniske
ettermiddag	ettermiddagen|ettermiddagar|ettermiddagane
europeisk	europeiske
evangelium	evangeliet|evangelia
eventyr	eventyret|eventyra
evne	evner|evna|evnene
fabrikant	fabrikantar|fabrikanten|fabrikantane
fabrikk	fabrikkar|fabrikken|fabrikkane
faktor	faktorane|faktoren|faktorar
fall	fallet|falla
falle	fell|feller|falli|fallande|fall
fallskjerm	fallskjermane|fallskjermen|fallskjermar
falsk	falske|falskt
familie	familiane|familien|familiar
fanatisk	fanatiske
fantasi	fantasien|fantasiane|fantasiar
fantastisk	fantastiske
fare	farast|fer|faren|farande|farane|far|fór|farar
farge	farga|fargen|fargane|farger|fargene|fargar
farmasi	farmasien
farmasøyt	farmasøytane|farmasøyten|farmasøytar
fartsgrense	fartsgrensa|fartsgrensene|fartsgrenser
fartøy	fartøya|fartøyet
fascinere	fascinert|fascinerer|fascinerast|fascinerande|fasciner|fascinerte
fase	fasar|fasane|fasen
fast	faste
faste	fastene|fasta|faster
fastland	fastlanda|fastlandet
fattig	fattigaste|fattigare|fattige|fattigast
fattigdom	fattigdomen|fattigdommen
fe	feene|feer|fea
feiebrett	feiebrettet|feiebretta
feil	feila|feilen
feilaktig	feilaktige
feire	feirar|feira|feirande|feirast
felt	feltet|felta
fengsel	fengselet|fengsla
ferd	ferder|ferdene|ferda
ferdig	ferdige
ferje	ferjer|ferja|ferjene
fersk	ferskare|ferskt|ferskast|ferske|ferskaste
fest	festar|festen|festane
fetter	fetrane|fetrar|fetteren
fiasko	fiaskoen|fiaskoane|fiaskoar
fiende	fiendane|fiendar|fienden
fiken	fikenane|fikenen|fikenar
film	filmane|filmen|filmar
filmstjerne	filmstjerna|filmstjerner|filmstjernene
filologi	filologien
filosof	filosofar|filosofane|filosofen
filosofi	filosofien|filosofiane|filosofiar
fin	fint|finare|finast|finaste|fine
finale	finalar|finalen|finalane
finger	fingrar|fingeren|fingrane
fingeravtrykk	fingeravtrykka|fingeravtrykket
fingertupp	fingertuppar|fingertuppen|fingertuppane
finne	finnar|finnande|finnast|finnane|fann|finn|finnen|funne
fiolett	fiolette
fiolin	fiolinen|fiolinane|fiolinar
fisk	fiskane|fisken|fiskar
fiske	fisket
fiskebutikk	fiskebutikkar|fiskebutikkane|fiskebutikken
fiskebåt	fiskebåtane|fiskebåtar|fiskebåten
fjell	fjella|fjellet
fjellside	fjellsidene|fjellsider|fjellsida
fjerdedel	fjerdedelen|fjerdedelar|fjerdedelane
fjern	fjernast|fjernare|fjerne|fjernaste|fjernt
fjerne	fjernar|fjernast|fjernande|fjerna
fjernsyn	fjernsyna|fjernsynet
fjord	fjorden|fjordar|fjordane
flagg	flagget|flagga
flaske	flaskene|flaska|flasker
flaskehals	flaskehalsar|flaskehalsen|flaskehalsane
flass	flasset|flassa
flate	flata|flatene|flater
flaum	flaumen|flaumane|flaumar
flis	flisene|fliser|flisa
flokk	flokken|flokkar|flokkane
fluor	fluoren|fluoret
fly	flyast|floge|flygast|flygande|flyg|flaug|flyet|flydd|flyr|flya|flyande|flydde
flyge	floge|flygast|flygande|flyg|flaug
flykte	flyktande|flykta|flyktar|flyktast
flyktning	flyktningar|flyktningen|flyktningane
flyplass	flyplassane|flyplassen|flyplassar
flyselskap	flyselskapet|flyselskapa
flystripe	flystripene|flystripa|flystriper
flyvåpen	flyvåpenet|flyvåpena
flåte	flåten|flåtar|flåtane
fløy	fløyer|fløyene|fløya
fløyte	fløytene|fløyta|fløyter
fole	folen|folane|folar
folkemusikk	folkemusikken
forandring	forandringane|forandringa|forandringar
forbindelse	forbindelsen|forbindelsane|forbindelsar
forbløffe	forbløffande|forbløffast|forbløffar|forbløffa
fordel	fordelane|fordelar|fordelen
fordeling	fordelingar|fordelingane|fordelinga
forhandling	forhandlingar|forhandlingane|forhandlinga
forhold	forholda|forholdet
forhåpning	forhåpningane|forhåpningar|forhåpninga
forkaste	forkastast|forkastar|forkasta|forkastande
forklaring	forklaringar|forklaringa|forklaringane
forkorting	forkortingar|forkortingane|forkortinga
forlag	forlaget|forlaga
form	formene|former|forma
formel	formelen|formlar|formlane
formell	formelt|formelle
formue	formuen|formuane|formuar
forord	fororda|forordet
forsiktig	forsiktige|forsiktigaste|forsiktigast|forsiktigare
forskjellig	forskjellige
forslag	forslaget|forslaga
forstad	forstadane|forstadar|forstader|forstaden|forstadene
forsvar	forsvara|forsvaret
forsvare	forsvarande|forsvara|forsvarar|forsvarast
forsøk	forsøka|forsøket
fort	fortet|fortaste|forta|fortare|forte|fortast
fortau	fortaua|fortauet
fortid	fortidene|fortider|fortida
forum	foruma|forumet
forventning	forventningane|forventninga|forventningar
forvirra	forvirrande|forvirrast|forvirrar
forvirre	forvirrande|forvirrast|forvirra|forvirrar
forvirring	forvirringar|forvirringa|forvirringane
fosfor	fosforen|fosforet
foss	fossane|fossen|fossar
fot	foten|føtene|føter
fotball	fotballane|fotballen|fotballar
fotnote	fotnotar|fotnotane|fotnoten
foto	fotoet|fotoa
fotograf	fotografane|fotografen|fotografar
fotografi	fotografiet|fotografien|fotografia
frakt	fraktene|frakter|frakta
framgang	framgangane|framgangen|framgangar
framlegg	framlegget|framlegga
framtid	framtider|framtidene|framtida
fransk	franske|fransken
franskmann	franskmannen|franskmennene|franskmenn
frase	frasane|frasar|frasen
fred	freden
fredag	fredagen|fredagar|fredagane
fredstid	fredstida
frekvens	frekvensane|frekvensar|frekvensen
friksjon	friksjonar|friksjonen|friksjonane
frimerke	frimerka|frimerket
frisyre	frisyren|frisyrane|frisyrar
frosk	frosken|froskar|froskane
frost	frosten
frostvæske	frostvæskene|frostvæsker|frostvæska
frukt	frukta|frukter|fruktene
fruktbar	fruktbare|fruktbart
frykt	fryktene|frykter|frykta
frysepunkt	frysepunktet|frysepunkta
frø	frøa|frøet
fugl	fuglar|fuglen|fuglane
fugleperspektiv	fugleperspektivet
fullmåne	fullmånane|fullmånar|fullmånen
fullstendig	fullstendige
funksjon	funksjonane|funksjonen|funksjonar
furu	furua|furuer|furuene
fusjon	fusjonen|fusjonar|fusjonane
fylke	fylket|fylka
fyrstikk	fyrstikkene|fyrstikka|fyrstikker
fyrtårn	fyrtårna|fyrtårnet
fysikk	fysikken
fysisk	fysiske
få	får|fått|fekk|fådd|fåast|fåande|færre|færraste|færrast|fådde
fødselsdag	fødselsdagen|fødselsdagar|fødselsdagane
fødselsdato	fødselsdatoar|fødselsdatoen|fødselsdatoane
følelse	følelsen|følelsar|følelsane
følge	følger|følgande|følg|følgast|følgde|følgd
følgje	følgjast|følgjande|følgjer|følg|følgde|følgd
føre	førte|ført|førast|førande|fører|før
førstehjelp	førstehjelpa
gaffel	gaflane|gaffelen|gaflar
gaffeltruck	gaffeltruckane|gaffeltruckar|gaffeltrucken
galopp	galoppen|galoppane|galoppar
gammal	gamle|eldre|gammalt|eldste|eldst
garanti	garantien|garantiar|garantiane
garasje	garasjen|garasjar|garasjane
garderobe	garderobane|garderobar|garderoben
garderobeskap	garderobeskapet|garderobeskapa
gass	gassen|gassar|gassane
gasspedal	gasspedalar|gasspedalane|gasspedalen
gate	gatene|gater|gata
geit	geitene|geiter|geita
geitebukk	geitebukken|geitebukkane|geitebukkar
general	generalen|generalar|generalane
generasjon	generasjonane|generasjonar|generasjonen
geografi	geografien
geografisk	geografiske
gevær	geværa|geværet
gi	givande|gitt|givast|gir|gav
giftering	gifteringar|gifteringen|gifteringane
giftig	giftige
gigantisk	gigantiske
gips	gipsen
gir	gira|giret
girkasse	girkassar|girkassane|girkassa|girkassene|girkassen|girkasser
gissel	gisselen|gislar|gislane
gitar	gitarar|gitarane|gitaren
gitarist	gitaristen|gitaristane|gitaristar
gjeng	gjengar|gjengane|gjengen
gjenge	gjenget|gjenga
gjennomføre	gjennomfør|gjennomført|gjennomførast|gjennomførte|gjennomførande|gjennomfører
gjennomsnitt	gjennomsnittet|gjennomsnitta
gjensidig	gjensidige
gjenstand	gjenstanden|gjenstandar|gjenstandane
gjerde	gjerda|gjerdet
gjerning	gjerninga|gjerningane|gjerningar
gjerningsmann	gjerningsmannen|gjerningsmennene|gjerningsmenn
gjest	gjester|gjesten|gjestane|gjestene|gjestar
gjestfri	gjestfritt|gjestfrie
gjær	gjæren
glidelås	glidelåsa|glidelåsen|glidelåset|glidelåsane|glidelåsar
globus	globusen|globusar|globusane
god	gode|godt|betre|beste|best
gods	godsa|godset
grammatikk	grammatikken|grammatikkane|grammatikkar
granitt	granittar|granittane|granitten
grave	grev|grav|gravast|gravande|grov
gravemaskin	gravemaskinene|gravemaskinar|gravemaskina|gravemaskinen|gravemaskiner|gravemaskinane
gravid	gravide
graviditet	graviditetane|graviditeten|graviditetar
grei	greiast|greitt|greie|greiare|greiaste
greie	greiene|greia|greier
grense	grenser|grensa|grensene
gresk	greske|gresken
gris	grisen|griser|grisane|grisar|grisene
grossist	grossistar|grossisten|grossistane
grov	grovt|grovast|grovare|grove|grovaste
grunn	grunt|grunnar|grunne|grunnane|grunnen
grunnflate	grunnflata|grunnflater|grunnflatene
grunnlag	grunnlaget|grunnlaga
grunnmur	grunnmurane|grunnmurar|grunnmuren
grunnskole	grunnskolen|grunnskolane|grunnskolar
gruppe	grupper|gruppa|gruppene
grus	grusen|gruset
gruve	gruva|gruvene|gruver
grå	gråast|gråaste|gråe|gråare|grått
grådig	grådigare|grådigast|grådigaste|grådige
gråt	gråten
gråte	græt|gret|gråtande|gråtast|gråt
gudinne	gudinna|gudinner|gudinnene
gul	gult|gule|gulast|gulaste|gulare
gull	gullet
gullfisk	gullfisken|gullfiskar|gullfiskane
gulrot	gulrota|gulroter|gulrotene
gummi	gummiane|gummien|gummiar
gummistøvel	gummistøvelen|gummistøvlar|gummistøvlane
gyldig	gyldige
gyllen	gylle|gylne|gyllent
gyngehest	gyngehestar|gyngehestane|gyngehesten
gyngestol	gyngestolen|gyngestolar|gyngestolane
gå	gåast|gåande|gådd|gådde|går
gås	gåsa|gjæsene|gjæser
ha	hadde|hatt|har|havast|havande
hage	hagar|hagen|hagane
hagl	haglet|hagla
hagle	hagler|hagla|haglene
haglgevær	haglgeværa|haglgeværet
hai	haien|haiane|haiar
hake	hakar|haken|haker|hakene|hakane|haka
hakekors	hakekorset|hakekorsa
hale	halar|halane|halen
hals	halsane|halsen|halsar
halv	halvt|halve
halvdel	halvdelar|halvdelen|halvdelane
halvtime	halvtimane|halvtimen|halvtimar
halvår	halvåra|halvåret
halvøy	halvøyer|halvøyar|halvøyene|halvøyane|halvøya
hamn	hamner|hamna|hamnene
hand	hender|hendene|handa
handel	handelen|handlane|handlar
handelsflåte	handelsflåtar|handelsflåtane|handelsflåten
handelsskip	handelsskipet|handelsskipa
handveske	handvesker|handveska|handveskene
hane	hanen|hanane|hanar
hank	hankane|hanken|hankene|hankar|hanker|hanka
hankjønn	hankjønnet|hankjønna
hanske	hansken|hanskar|hanskane
hard	hardare|hardast|harde|hardaste|hardt
hardfør	hardføre|hardført
hat	hatet
hatt	hattane|hatten|hattar
haug	haugane|haugen|haugar
hauk	hauken|haukar|haukane
haust	hausten|haustane|haustar
hav	havsens|havet|hava
have	hadde|hatt|har|havast|hav|havande
heil	heilare|heilast|heilt|heilaste|heile
heimebrent	heimebrenten
hekk	hekken|hekkane|hekkar
heks	heksa|heksene|hekser
hektar	hektaret|hektara
heldig	heldige
helg	helgene|helgar|helgane|helger|helga
helgen	helgenen|helgenar|helgenane
helikopter	helikoptera|helikopteret
helle	heller|hellene|hella
helse	helsa
helt	heltane|heltar|helten
hengelås	hengelåsane|hengelåsen|hengelåsar|hengelåsa|hengelåset
hengsel	hengselet|hengsla
her	herane|herar|heren
hest	hesten|hestar|hestane
hestekraft	hestekraftene|hestekrafter|hestekrafta
hestesko	hesteskor|hesteskoa|hesteskorne|hesteskoen
hete	heten|heta|hetar
hette	hetter|hettene|hetta
hevde	hevdar|hevdande|hevdast|hevda
hevelse	hevelsen|hevelsane|hevelsar
himmel	himmelar|himmelane|himmelen
historie	historia|historiene|historier
historisk	historiske
