ambulantní	ambulantních|ambulantního|ambulantnímu|ambulantními|ambulantním
americký	americkém|amerických|americké|americkými|americkým|američtí|amerického|americkou|americkému|americká
Američan	Američana|Američanovi|Američanech|Američanů|Američané|Američane|Američanům|Američany|Američanem
Američanka	Američanek|Američanku|Američanko|Američankami|Američankám|Američankách|Američankou|Američance|Američanky
aminokyselina	aminokyseliny|aminokyselinou|aminokyselinami|aminokyselině|aminokyselinám|aminokyselin|aminokyselinu|aminokyselinách|aminokyselino
amnestie	amnestiemi|amnestiím|amnestiích|amnestií|amnestii
amorfní	amorfních|amorfním|amorfnímu|amorfního|amorfními
amplituda	amplitudo|amplitudách|amplitudě|amplitudu|amplitud|amplitudy|amplitudám|amplitudami|amplitudou
ampulka	ampulko|ampulkám|ampulkami|ampulku|ampulce|ampulkách|ampulek|ampulkou|ampulky
amputovat	amputováno|amputujeme|amputovav|amputovány|amputujete|amputováni|amputování|amputován|amputujíc|amputujme|amputujte|amputovali|amputuješ|amputovala|amputovalo|amputujíce|amputující|amputovavši|amputována|amputuje|amputovavše|amputoval|amputují|amputuj|amputuji|amputovaly
amyláza	amylázy|amylázami|amyláze|amyláz|amylázo|amylázu|amylázách|amylázou|amylázám
améba	amébami|amébách|amébo|améby|amébě|amébám|amébou|amébu|améb
amébiáza	amébiázu|amébiázami|amébiáze|amébiázo|amébiázou|amébiázách|amébiáz|amébiázám|amébiázy
anafora	anafoře|anaforu|anaforám|anaforou|anafor|anafory|anaforami|anaforo|anaforách
anafylaktický	anafylaktickými|anafylaktickému|anafylaktických|anafylaktickém|anafylaktické|anafylaktická|anafylaktickou|anafylaktičtí|anafylaktickým|anafylaktického
anakonda	anakondami|anakondou|anakondy|anakond|anakondu|anakondách|anakondám|anakondě|anakondo
analgetický	analgetická|analgetickém|analgetické|analgetickému|analgetického|analgetickou|analgetickými|analgetických|analgetickým|analgetičtí
analogický	analogická|analogickému|analogickými|analogickém|analogického|analogických|analogické|analogickou|analogičtí|analogickým
analytický	analytickém|analytičtí|analytickou|analytických|analytického|analytickým|analytickými|analytická|analytické|analytickému
analyzovat	analyzujeme|analyzujíce|analyzováni|analyzováno|analyzovalo|analyzovavši|analyzovali|analyzoval|analyzován|analyzovala|analyzuj|analyzovaly|analyzujte|analyzující|analyzování|analyzuje|analyzuješ|analyzují|analyzujme|analyzována|analyzovavše|analyzujíc|analyzovav|analyzovány|analyzujete|analyzuji
analýza	analýz|analýzám|analýzy|analýzou|analýze|analýzách|analýzu|analýzami|analýzo
ananas	ananase|ananasům|ananasech|ananasy|ananasem|ananasů|ananasu
anatomický	anatomickým|anatomické|anatomickém|anatomickou|anatomickými|anatomických|anatomická|anatomického|anatomickému|anatomičtí
andský	andskými|andských|andští|andské|andském|andským|andská|andského|andskou|andskému
andulka	andulkách|andulce|andulky|andulko|andulek|andulkami|andulkám|andulkou|andulku
andělský	andělských|andělským|andělském|andělské|andělská|andělskými|andělskému|andělští|andělskou|andělského
anglický	anglická|anglických|anglickými|anglické|anglickou|anglickým|angličtí|anglickém|anglického|anglickému
Angličanka	Angličankách|Angličankou|Angličanek|Angličance|Angličanky|Angličankám|Angličanku|Angličanko|Angličankami
angličtina	angličtinám|angličtin|angličtinou|angličtině|angličtiny|angličtinu|angličtinami|angličtinách|angličtino
angloamerický	angloameričtí|angloamerickými|angloamerické|angloamerického|angloamerickém|angloamerickým|angloamerickou|angloamerických|angloamerická|angloamerickému
angína	angíno|angínou|angínu|angínami|angíně|angínám|angín|angíny|angínách
animozita	animozitě|animozitách|animozito|animozitám|animozitu|animozitami|animozity|animozitou|animozit
anketa	anket|anketami|anketě|anketo|ankety|anketou|anketách|anketám|anketu
ankylóza	ankylózo|ankylózách|ankylózu|ankylóz|ankylózy|ankylóze|ankylózou|ankylózami|ankylózám
anoda	anodě|anody|anodou|anodách|anod|anodám|anodo|anodami|anodu
anonymita	anonymit|anonymitách|anonymitám|anonymitu|anonymity|anonymitě|anonymitami|anonymitou|anonymito
anonymní	anonymních|anonymního|anonymními|anonymním|anonymnímu
anorganický	anorganickým|anorganická|anorganickými|anorganickému|anorganickém|anorganických|anorganického|anorganičtí|anorganickou|anorganické
antický	antickému|antickou|antičtí|antická|antickým|antických|antickém|antické|antickými|antického
antihistaminikum	antihistaminik|antihistaminikech|antihistaminiku|antihistaminikem|antihistaminika|antihistaminiky|antihistaminikům
antihmota	antihmotami|antihmotou|antihmotách|antihmot|antihmotám|antihmotu|antihmotě|antihmoty|antihmoto
antika	antiky|antice|antiku|antikách|antikám|antik|antikami|antikou|antiko
antikoncepční	antikoncepčním|antikoncepčního|antikoncepčnímu|antikoncepčními|antikoncepčních
antikvariát	antikvariátech|antikvariátu|antikvariáty|antikvariátům|antikvariáte|antikvariátem|antikvariátů
antilopa	antilopami|antilopo|antilopám|antilopou|antilopách|antilopy|antilopu|antilop|antilopě
antimonopolní	antimonopolním|antimonopolního|antimonopolních|antimonopolnímu|antimonopolními
antiseptický	antiseptickou|antiseptická|antiseptickým|antiseptické|antiseptickými|antiseptických|antiseptičtí|antiseptickém|antiseptickému|antiseptického
antropomorfní	antropomorfními|antropomorfním|antropomorfního|antropomorfnímu|antropomorfních
anténa	anténo|antény|anténou|anténám|anténě|anténách|anténu|antén|anténami
anální	análnímu|análního|análním|análních|análními
ančovička	ančovičkami|ančovičky|ančovičkách|ančoviček|ančovičkou|ančovičkám|ančovičko|ančovičku|ančovičce
apatie	apatiemi|apatiích|apatii|apatií|apatiím
aplikovat	aplikujíce|aplikovali|aplikovalo|aplikovavše|aplikovaly|aplikovav|aplikujme|aplikování|aplikoval|aplikuje|aplikován|aplikuji|aplikující|aplikovavši|aplikována|aplikovány|aplikuješ|aplikujíc|aplikovala|aplikuj|aplikováno|aplikujete|aplikujte|aplikujeme|aplikováni|aplikují
apokalypsa	apokalypsami|apokalypsu|apokalypse|apokalyps|apokalypsy|apokalypso|apokalypsách|apokalypsám|apokalypsou
apologetika	apologetikou|apologetik|apologetiku|apologetiky|apologetikám|apologetikách|apologetiko|apologetice|apologetikami
arabeska	arabeskách|arabesko|arabeskami|arabesce|arabesek|arabesku|arabesky|arabeskám|arabeskou
arch	arších|archu|archem|archům|archů|archy
archa	arch|archo|archám|archu|archami|archou|archách|archy|arše
archaický	archaického|archaická|archaičtí|archaických|archaickému|archaickém|archaickou|archaickými|archaickým|archaické
archeologický	archeologičtí|archeologického|archeologických|archeologickém|archeologickým|archeologické|archeologickou|archeologickému|archeologickými|archeologická
architekt	architekta|architekty|architektů|architektech|architektu|architekti|architekte|architektům|architektem
architektka	architektkami|architektkou|architektkám|architektky|architektce|architektku|architektek|architektko|architektkách
architektura	architekturami|architektuře|architekturám|architekturou|architekturách|architekturo|architektur|architektury|architekturu
archiv	archivu|archivem|archivům|archivy|archivech|archive|archivů
archivovat	archivujeme|archivována|archivoval|archivujete|archivovaly|archivovavši|archivovalo|archivovav|archivovavše|archivuji|archivování|archivující|archivováno|archivován|archivují|archivujme|archivujíce|archivovány|archivuj|archivujte|archivovala|archivovali|archivováni|archivuješ|archivuje|archivujíc
arcibiskup	arcibiskupu|arcibiskupem|arcibiskupů|arcibiskupech|arcibiskupa|arcibiskupe|arcibiskupové|arcibiskupům|arcibiskupy
argentinský	argentinské|argentinskými|argentinském|argentinští|argentinskou|argentinskému|argentinského|argentinským|argentinská|argentinských
argument	argumente|argumentem|argumentu|argumentů|argumentech|argumenty|argumentům
argumentovat	argumentoval|argumentování|argumentujme|argumentovaly|argumentováno|argumentovav|argumentuj|argumentuje|argumentuji|argumentujíc|argumentujíce|argumentují|argumentovalo|argumentovány|argumentujete|argumentovala|argumentujeme|argumentujte|argumentující|argumentován|argumentovavši|argumentována|argumentováni|argumentovavše|argumentuješ|argumentovali
aritmetický	aritmetickém|aritmetických|aritmetičtí|aritmetickou|aritmetická|aritmetické|aritmetickými|aritmetického|aritmetickému|aritmetickým
aritmetika	aritmetiko|aritmetice|aritmetikou|aritmetikám|aritmetikami|aritmetikách|aritmetiku|aritmetik|aritmetiky
armáda	armádami|armádách|armádo|armádě|armád|armádou|armádám|armády|armádu
arménský	arménském|arménské|arménského|arménských|arménskými|arménští|arménským|arménskému|arménská|arménskou
arterioskleróza	arteriosklerózu|arteriosklerózy|arteriosklerózami|arteriosklerózám|arteriosklerózo|arteriosklerózou|arterioskleróze|arterioskleróz|arteriosklerózách
artikulovat	artikulování|artikuluješ|artikulují|artikulovali|artikulováno|artikulován|artikulovala|artikuluj|artikulovavše|artikulována|artikulováni|artikulujete|artikuluje|artikulujte|artikuloval|artikuluji|artikulovaly|artikulující|artikulujíce|artikulovavši|artikulujeme|artikulovav|artikulujme|artikulovalo|artikulujíc|artikulovány
artritida	artritidu|artritidám|artritidy|artritidě|artritidou|artritid|artritido|artritidách|artritidami
artyčok	artyčoky|artyčoku|artyčokům|artyčoků|artyčokem|artyčocích
asférický	asférickém|asférickým|asférickými|asférická|asférickou|asféričtí|asférické|asférického|asférických|asférickému
asijský	asijských|asijskými|asijskou|asijská|asijské|asijskému|asijského|asijským|asijští|asijském
asistovat	asistují|asistovavši|asistována|asistujme|asistovali|asistuješ|asistovaly|asistuj|asistující|asistujte|asistujeme|asistoval|asistován|asistováni|asistuji|asistovala|asistujete|asistování|asistuje|asistovalo|asistovavše|asistujíc|asistováno|asistovav|asistujíce|asistovány
asketický	asketickým|asketickými|asketičtí|asketickému|asketickém|asketických|asketické|asketického|asketická|asketickou
asociativní	asociativním|asociativnímu|asociativních|asociativními|asociativního
asteroid	asteroidu|asteroidech|asteroidů|asteroidem|asteroidy|asteroide|asteroidům
astmatický	astmatické|astmatickému|astmatická|astmatickou|astmatickými|astmatických|astmatičtí|astmatického|astmatickým|astmatickém
asynchronní	asynchronních|asynchronním|asynchronnímu|asynchronního|asynchronními
ateista	ateistů|ateisté|ateistům|ateistech|ateisty|ateistu|ateistovi|ateistou|ateisto
ateistický	ateistické|ateistickými|ateistických|ateistickém|ateistická|ateistickým|ateistickou|ateističtí|ateistickému|ateistického
atlet	atleti|atletech|atletem|atlete|atletům|atletu|atletů|atleta|atlety
atletický	atletickém|atletické|atletičtí|atletickými|atletického|atletická|atletickým|atletickému|atletickou|atletických
atletika	atletiky|atletice|atletikami|atletikou|atletiku|atletik|atletikách|atletikám|atletiko
atmosféra	atmosféře|atmosférám|atmosféry|atmosfér|atmosférami|atmosférách|atmosféro|atmosférou|atmosféru
atomický	atomické|atomickým|atomická|atomických|atomickému|atomičtí|atomického|atomickou|atomickém|atomickými
atomový	atomového|atomové|atomovými|atomovou|atomovým|atomová|atomovém|atomoví|atomových|atomovému
atrakce	atrakci|atrakcím|atrakcí|atrakc|atrakcích|atrakcemi
atraktivní	atraktivních|atraktivnímu|atraktivního|atraktivním|atraktivními
atypický	atypickém|atypické|atypického|atypickou|atypickí|atypickým|atypických|atypická|atypickými|atypickému
audiovizuální	audiovizuálních|audiovizuálnímu|audiovizuálním|audiovizuálními|audiovizuálního
aukce	aukcemi|aukcím|aukci|aukcí|aukc|aukcích
Australan	Australanovi|Australané|Australana|Australany|Australane|Australanů|Australanem|Australanech|Australanům
australský	australské|australskou|australští|australskému|australském|australská|australským|australských|australského|australskými
autentický	autentickými|autentického|autentickou|autentické|autentických|autentickým|autentickému|autentickém|autentičtí|autentická
